"","Description","NES","p.adjust","core_enrichment"
"GO:0031012","extracellular matrix",3.30240144035421,3.05373134328358e-09,"10631/7422/4316/9518/5266/2201/1281/5806/1277/1116/4327/4318/5054/4015/4192/51129/3371/304/165/1282/5118/341640/3383/302/4060/2162/871/25878/255743/1284/7041/56999/27286/8406/84034/4323/5265/3339/2006/115908/2202/11117/7837/1302/7076/977/3915/3912/4017/8728/1464/2817/9423/50509/1290/6281/3911/84695/1291/3958/57124/4917/7059/10516/6277/4239"
"GO:0065004","protein-DNA complex assembly",3.25976641027803,3.05373134328358e-09,"8970/8348/8968/8346/8355/3009/8358/8352/8356/55355/3007/8354/8342/7157/8368/3006/8345/9787/1063/8359/81620/8344/8341/8361/8353/3018/11339/8343/6662/8350/83743/5888/3017/8366/3148/3008/3014/8360/9735"
"GO:0000070","mitotic sister chromatid segregation",3.24055201334623,3.05373134328358e-09,"9212/9700/23397/83903/64151/11065/9787/24137/5347/9319/891/10460/699/9232/1063/81620/11004/81930/3833/83540/55143/991/11130/113130/10783/26271"
"GO:0140014","mitotic nuclear division",3.19219718873266,3.05373134328358e-09,"9212/9700/23397/83903/995/64151/11065/9787/6790/2316/24137/5347/9319/4288/891/10460/699/4605/9232/1063/157313/81620/11004/56992/81930/3833/83540/55143/991/11130/113130/27338/22974/10783/26271/23363/1104/1613/10459"
"GO:0042254","ribosome biogenesis",3.16172942800032,3.05373134328358e-09,"220717/55226/55720/57602/6201/705/54555/57647/9136/51491/6175/85395/54663/9775/2091/79039/57418/55505/29997/6223/10514/79922/28987/54606/23212/54475/6838/51547/9092/115939/3692/23481/55646/51154/115416/84365/26155/26156/6134/55794/5591/6209/6147/8602/84231/10360/29777/23246/6193/10248/88745/29889/92856"
"GO:0071824","protein-DNA complex subunit organization",3.13549778920759,3.05373134328358e-09,"8970/8348/8968/8346/8355/3009/8358/8352/4609/8356/55355/3007/8354/8342/7157/8368/3006/8345/9787/1063/8359/81620/3159/8344/8341/8361/8353/3018/11339/8343/6662/8350/83743/5888/3017/8366/3148/3008/3014/8360/9735"
"GO:0007059","chromosome segregation",3.12933324332331,3.05373134328358e-09,"9212/9700/23397/220134/55355/83903/64151/11065/9787/24137/5347/9319/4288/891/10460/699/9232/1063/157313/147841/81610/81620/11004/146956/81930/3833/83540/55143/991/11130/113130/11339/10783/26271/10609/1104/10459/29893/1663/3835/84722/990/9735/3619/80198/79643"
"GO:0034728","nucleosome organization",3.11683540037173,3.05373134328358e-09,"8970/8348/8968/8346/8355/3009/8358/8352/8356/55355/3007/8354/8342/8368/3006/8345/8359/3159/8344/8341/8361/8353/3018/11339/8343/6662/8350/83743/3017/8366/3148/3008"
"GO:0000819","sister chromatid segregation",3.09784190497605,3.05373134328358e-09,"9212/9700/23397/83903/64151/11065/9787/24137/5347/9319/891/10460/699/9232/1063/81620/11004/81930/3833/83540/55143/991/11130/113130/10783/26271/10459/1663/3835/84722/990/9735/79643/4085"
"GO:0000280","nuclear division",3.03001970133087,3.05373134328358e-09,"3976/9212/9700/23397/259266/83903/995/64151/11065/9787/6790/2316/24137/9133/5347/9319/4288/891/10460/699/4605/9232/1063/157313/81620/11004/56992/146956/81930/3833/83540/55143/991/11130/113130/4487/27338/22974/10783/26271/10609/23363/1104/1613/10635/10459/29893/5888/80346/811/3835/4041/84722/990/9735/3619/80198/79643"
"GO:0000775","chromosome, centromeric region",2.98644852305037,3.05373134328358e-09,"8970/9212/332/8335/220134/55355/8368/64151/5347/891/699/1063/8359/147841/81620/11004/81930/83540/55143/79019/79682/8361/11130/113130/11339/2146/8366/3835/3012/1786/222229/8360/9735/3619/79643/4085"
"GO:0098687","chromosomal region",2.97452749781931,3.05373134328358e-09,"8970/9212/332/8335/220134/55355/8368/64151/5347/891/983/699/1063/8359/147841/81620/11004/5424/4998/81930/83540/55143/79019/55226/79682/8361/11130/113130/3018/11339/10635/4172/5888/2146/4174/641/8366/3835/10189/3012/3014/1786/222229/8360/9735/3619/79643/4176/4085/4175/9401"
"GO:0048285","organelle fission",2.97110767888302,3.05373134328358e-09,"3976/9212/9700/23397/259266/83903/995/64151/11065/9787/6790/2316/24137/9133/5347/9319/4288/891/10460/699/4605/9232/1063/157313/81620/11004/56992/146956/81930/3833/83540/55143/991/11130/113130/4487/27338/22974/10783/26271/10609/23363/1104/1613/10635/10459/29893/5888"
"GO:0098813","nuclear chromosome segregation",2.95614542361361,3.05373134328358e-09,"9212/9700/23397/83903/64151/11065/9787/24137/5347/9319/891/10460/699/9232/1063/147841/81610/81620/11004/146956/81930/3833/83540/55143/991/11130/113130/10783/26271/10609/10459/29893/1663/3835/84722/990/9735/3619/80198/79643"
"GO:0005788","endoplasmic reticulum lumen",2.86157197622379,3.05373134328358e-09,"3486/1281/1277/8614/3371/3488/1282/871/1284/79642/56975/5265/60681/9601/7425/1302/7076/79709/5034/3915/3912/50509/1290/1291/10970/5329/493869/56005/10130/57333/351/8985/567/811/5479/3956/56034/7873/23753/30001/11167/3913/1307/1462/718/64175/813/3309/2882/4240/1622"
"GO:0034660","ncRNA metabolic process",2.82988967845689,3.05373134328358e-09,"283120/1956/7157/80149/55226/55720/57602/6201/1663/705/54555/84705/8178/5970/6618/57647/9136/284119/85395/4234/54663/6774/9775/3028/6897/79042/2091/79039/57418/55505/29997/8570/6223/55621/79922/28987/54606/6597/3376/23212/51547/9092/51593/115939/27044/23587/3692/23481/55646/51154/7407/84365/64425/26156/9612/126789/5591/6209/8602/10360/29777/23246/5441/4141/10248/88745/92856/87178/55039/142940"
"GO:0005925","focal adhesion",2.7669671916081,3.05373134328358e-09,"1956/9902/3371/3383/54751/7431/7041/3678/5328/8394/2316/4323/3339/84962/1265/977/3159/4267/5339/5034/87/9260/1464/3675/726/8994/7791/5754/7205/55616/7171/5329/1969/6522/3676/4478/71/2318/6201/8829/5880/2783/3315/1266/567/811/2535/5479/4627/1466/4082/10979/4739/60/8754/7408/308/2022/6187/6175/4026/3309/51474/4035/55740/6141/2275/824/2768/11078/6223/6237/3927/23521/7145/976/6132"
"GO:0030055","cell-substrate junction",2.74978544026278,3.05373134328358e-09,"1956/9902/3371/3383/54751/7431/7041/3678/5328/8394/2316/4323/3339/84962/1265/977/3159/4267/5339/5034/87/9260/1464/3675/726/8994/7791/5754/7205/55616/7171/5329/1969/6522/3676/4478/71/2318/6201/8829/5880/2783/3315/1266/567/811/2535/5479/4627/1466/4082/10979/4739/60/8754/7408/10518/308/2022/6187/6175/4026/3309/51474/4035/55740/6141/2275/824/2768/11078/6223/6237/3927/23521/7145/976/6132"
"GO:0099003","vesicle-mediated transport in synapse",-2.63607637970059,3.05373134328358e-09,"284697/8867/148/320/6453/783/8871/23025/112755/134957/107/5532/6812/8447/9066/6622/3208/5864/6855/274/8301/93664/26059/26052/11069/273/9783/5579/9829/8224/8448/6620/8927/6861/127833/6804/143425/1812/5865/63908/57084/6623/27445/9699/6456/10815/116443/8618/29993/140679/6457/3356/50632/6854/9892/5582/6860/22999/440279/57030/6616/6857/10814"
"GO:0098793","presynapse",-2.63241645755374,3.05373134328358e-09,"2066/80863/6453/783/9145/84623/8871/9378/1183/23025/10858/5798/85300/65078/112755/134957/55964/24141/10966/2983/6812/8447/9066/6622/27020/2571/5864/386617/6506/4915/1272/6855/1128/80725/274/8301/3765/93664/26059/5138/6529/26052/6539/2550/273/9783/491/6540/5579/9162/9829/8224/8448/6620/1393/8927/79772/6861/22987/127833/11255/27255/2902/6804/143425/1812/5414/5865/203190/57084/4986/2913/6623/2917/27445/22848/9699/4747/1211/401190/2903/6456/6546/388662/7781/53942/492/1006/10815/9912/793/6326/2555/6843/115827/6543/8618/29993/2558/3747/140679/6457/57528/3356/6854/9892/5582/6860/22999/440279/57030/132204/57282/3760/2572/6616/6857/10814/114569"
"GO:0006836","neurotransmitter transport",-2.61579631145914,3.05373134328358e-09,"9378/477/23025/6511/112755/134957/107/2824/6812/8447/9066/6622/5864/6506/6855/93664/26059/6529/6539/9783/6540/5579/8224/8448/79772/6861/6534/22987/127833/11255/6804/143425/1812/5865/63908/57084/6623/55117/27445/9699/388662/10815/116443/2555/8618/140679/3356/6854/5582/6860/22999/440279/57030/6616/6857/10814/815"
"GO:0099504","synaptic vesicle cycle",-2.61288523748,3.05373134328358e-09,"284697/8867/148/320/6453/783/8871/23025/112755/134957/107/5532/6812/8447/9066/6622/5864/6855/274/8301/93664/26059/26052/11069/273/9783/5579/9829/8224/8448/6620/8927/6861/127833/6804/143425/1812/5865/63908/57084/6623/27445/9699/6456/10815/116443/8618/29993/140679/6457/3356/6854/9892/5582/6860/22999/440279/57030/6616/6857/10814"
"GO:0030672","synaptic vesicle membrane",-2.59138481604338,3.05373134328358e-09,"9066/6622/5864/6855/274/273/9162/8224/8448/8927/79772/6861/22987/127833/6804/143425/5865/57084/4986/1211/388662/7781/2555/6843/115827/140679/6854/6860/440279/57030/132204/2572/6857/114569"
"GO:0099501","exocytic vesicle membrane",-2.59138481604338,3.05373134328358e-09,"9066/6622/5864/6855/274/273/9162/8224/8448/8927/79772/6861/22987/127833/6804/143425/5865/57084/4986/1211/388662/7781/2555/6843/115827/140679/6854/6860/440279/57030/132204/2572/6857/114569"
"GO:0098978","glutamatergic synapse",-2.57218399262532,3.05373134328358e-09,"65078/70/64084/2983/9456/107/729956/5532/6812/1741/8526/2905/27020/3208/6506/2045/1128/114798/274/93664/26059/57460/26052/2550/491/5590/9211/8224/79012/8927/2915/5063/50944/10718/6804/814/1812/58512/145581/11141/63908/10369/2913/4900/22839/27445/139065/401190/2903/6456/9890/388662/7781/492/1006/147381/10815/9912/793/6326/116443/8618/2911/6457/3356/50632/6854/1996/6860/6616/6857/10814/114569/10368"
"GO:0006325","chromatin organization",2.57180287718147,3.05373134328358e-09,"8970/8348/8968/8346/8355/3009/8358/8352/4609/8356/55355/3007/8354/8342/83903/7157/29128/8368/3006/8345/4288/8359/3159/8344/4017/8341/8361/8353/3018/11339/8343/6662/1613/8350/83743/57332/2146/1663/3017/26147/8366/29028/3148/3008/23476/51564/55209/5585/54815/60/3014/55257/1786/2139/222229/9810/8360/5970/86/7468/10856/10155"
"GO:0001505","regulation of neurotransmitter levels",-2.56104999651219,3.05373134328358e-09,"8867/148/320/783/9378/477/23025/6511/112755/134957/23287/107/2824/6812/8447/9066/6622/2571/5864/6506/6855/93664/26059/6529/6539/9783/6540/5579/8224/8448/79772/6861/127833/11255/6804/143425/1812/5865/63908/6623/27445/9699/10815/116443/2555/8618/140679/3356/6854/5582/6860/22999/440279/2572/6616/6857/10814/815"
"GO:0010564","regulation of cell cycle process",2.55389165048764,3.05373134328358e-09,"1956/3976/9212/9700/7465/56892/144455/4609/90381/7157/995/11065/9787/6790/1026/10112/5347/9319/4288/891/1031/10460/983/699/9232/1063/157313/81610/4582/81620/56992/51512/4998/146956/55226/991/22809/11130/113130/4487/604/22974/10783/26271/23363/6662/6909/1104/1613/10635/8914/10459/10926/2146/1019/1663/10385/641/351/811/1869/23476/4041/84722/3014/990/1981/9735/25959/80198/79643"
"GO:0007269","neurotransmitter secretion",-2.52758204857871,3.05373134328358e-09,"8867/148/320/783/9378/23025/112755/134957/107/6812/8447/9066/6622/5864/6855/93664/26059/9783/5579/8224/8448/79772/6861/127833/11255/6804/143425/1812/63908/6623/27445/9699/10815/116443/8618/140679/3356/6854/5582/6860/22999/440279/6616/6857/10814/815"
"GO:0099643","signal release from synapse",-2.52758204857871,3.05373134328358e-09,"8867/148/320/783/9378/23025/112755/134957/107/6812/8447/9066/6622/5864/6855/93664/26059/9783/5579/8224/8448/79772/6861/127833/11255/6804/143425/1812/63908/6623/27445/9699/10815/116443/8618/140679/3356/6854/5582/6860/22999/440279/6616/6857/10814/815"
"GO:0042734","presynaptic membrane",-2.51553345182717,3.05373134328358e-09,"148/320/2066/6453/9378/23025/112755/6812/9066/27020/386617/6506/1272/6855/1128/8301/3765/26059/5138/6529/2550/9783/491/27255/6804/1812/4986/2913/9699/1211/401190/2903/53942/492/6326/2558/3747/57528/3356/9892/22999/440279/3760/2572/6616/6857"
"GO:0048514","blood vessel morphogenesis",2.49988955675328,3.05373134328358e-09,"7422/133/1281/1116/4327/1482/5054/4015/11082/4192/51129/3725/51330/1282/8038/302/144455/3162/1284/3678/80149/56999/27286/1647/2316/84034/4323/60681/3339/8828/7291/11117/3099/3037/7127/182/2049/6608/2050/4017/290/1464/3280/25865/6915/5230/23166/57381/6909/1969/7855/56005/581/71/8862/8829/23554/3315/4041/51564/64855/4627/23509/6464/10253/4854"
"GO:0097060","synaptic membrane",-2.48355726741834,3.05373134328358e-09,"107/729956/23017/6812/9066/2905/27020/386617/6506/1272/2045/6855/1128/114798/8301/3765/26059/5138/6529/2556/26052/2550/1607/9783/491/6900/9162/2567/2562/2915/50944/2904/27255/2902/6804/57497/1812/145581/11141/80059/10369/8001/4986/2913/4900/2917/9699/288/1211/401190/2903/9890/6546/2563/53942/2557/492/1006/3775/6326/116443/2555/287/2911/2558/3747/2565/57528/3356/9892/5582/22999/440279/3760/2572/6616/6857/10368"
"GO:0070382","exocytic vesicle",-2.43551667072666,3.05373134328358e-09,"376267/5799/6844/84258/284697/320/80863/9145/84623/1183/23025/112755/134957/24141/10966/9066/6622/5864/6855/274/8301/2550/273/54843/9162/8224/8448/8927/79772/6861/22987/127833/2902/6804/143425/5414/5865/203190/57084/4986/1211/2903/388662/7781/2555/6843/57586/115827/140679/6854/9892/6860/440279/57030/132204/2572/6616/6857/114569"
"GO:0050804","modulation of chemical synaptic transmission",-2.42927579767874,3.05373134328358e-09,"5581/64854/127262/84628/1816/23236/23154/6844/3766/54899/57537/6558/148/5577/320/7143/80863/816/55607/23542/783/9145/9378/477/23025/23096/10858/112755/64084/134957/4130/9456/107/729956/773/5532/6812/9066/6622/8526/2905/27020/5864/4915/6855/9148/5334/26059/6529/3815/2550/9783/6900/5590/84502/5579/9211/9162/8224/22849/25769/2915/79772/50944/2904/10718/2902/6804/57497/1812/58512/10369/2913/4900/6623/22839/2917/766/23349/9699/5923/2903/9890/56853/152330/10815/793/116443/774/5999/6543/2911/3356/1996/5582/6860/22999/440279/57282/6616/6857/10814/815/10368"
"GO:0099177","regulation of trans-synaptic signaling",-2.42927579767874,3.05373134328358e-09,"5581/64854/127262/84628/1816/23236/23154/6844/3766/54899/57537/6558/148/5577/320/7143/80863/816/55607/23542/783/9145/9378/477/23025/23096/10858/112755/64084/134957/4130/9456/107/729956/773/5532/6812/9066/6622/8526/2905/27020/5864/4915/6855/9148/5334/26059/6529/3815/2550/9783/6900/5590/84502/5579/9211/9162/8224/22849/25769/2915/79772/50944/2904/10718/2902/6804/57497/1812/58512/10369/2913/4900/6623/22839/2917/766/23349/9699/5923/2903/9890/56853/152330/10815/793/116443/774/5999/6543/2911/3356/1996/5582/6860/22999/440279/57282/6616/6857/10814/815/10368"
"GO:0098984","neuron to neuron synapse",-2.42554426526348,3.05373134328358e-09,"64084/134957/9456/53335/107/729956/6695/9066/120/2905/2039/27020/4915/2045/1128/9148/80725/114798/8502/26052/11069/4744/491/5590/9162/9829/8224/22849/8927/2915/5063/50944/2904/2902/6804/143425/57497/58512/145581/9478/10369/56899/2913/4900/5662/2917/27445/401190/2903/9890/6546/7781/9912/793/116443/57554/6543/2911/6457/6854/5582/6857/815/114569/10368"
"GO:0008021","synaptic vesicle",-2.42340250939496,3.05373134328358e-09,"320/80863/9145/84623/1183/23025/112755/134957/24141/10966/9066/6622/5864/6855/274/8301/2550/273/9162/8224/8448/8927/79772/6861/22987/127833/2902/6804/143425/5414/5865/203190/57084/4986/1211/2903/388662/7781/2555/6843/115827/140679/6854/9892/6860/440279/57030/132204/2572/6616/6857/114569"
"GO:0045055","regulated exocytosis",-2.42205926716253,3.05373134328358e-09,"376267/6844/84258/8867/148/320/783/9145/23025/8941/112755/134957/107/261729/5532/6812/8447/9066/6622/2039/5864/6855/93664/26059/3815/11069/9783/5579/8448/1393/8911/6861/127833/6804/143425/1812/306/63908/27445/9699/10815/1113/116443/57586/8618/3356/6854/5582/6860/22999/440279/6616/6857/10814"
"GO:0097447","dendritic tree",-2.39367428183554,3.05373134328358e-09,"4133/10858/85442/85300/6014/65078/64084/4130/24141/9456/22983/729956/8633/79739/5599/27124/547/1826/54550/3897/27020/3208/4915/2045/1128/9148/3800/80725/274/26232/2556/26052/2550/491/84502/30819/9162/2567/22849/1393/8927/2915/50944/11255/2902/347/4036/1812/5414/306/11141/51617/3350/8001/3798/2258/4986/56899/2913/4900/9362/23046/5662/23114/57626/2917/26047/288/5126/401190/2903/6546/2563/2557/3775/1620/9912/793/3354/348980/51764/2555/257194/6543/2911/2558/3747/140679/2565/3356/57468/1996/5582/6860/57282/10814/815/10368"
"GO:0046873","metal ion transmembrane transporter activity",-2.39329103401391,3.05373134328358e-09,"3766/3708/3759/347051/6263/6558/6261/123041/123606/9033/64849/3786/783/79815/57185/477/117155/781/54805/6511/8514/6324/90134/773/55799/9254/2905/6506/126755/131096/3763/3765/777/6529/259232/55532/10242/6539/481/221074/491/6540/30819/56660/25769/7222/8911/2904/3787/27133/55800/6534/57582/2902/23416/53828/10369/115584/6327/7881/140803/55117/80036/2903/6546/7781/492/6262/3775/6326/348980/116443/27012/774/6543/3747/57468/57030/57282/3760/6616/10368"
"GO:0030425","dendrite",-2.38927409599396,3.05373134328358e-09,"4133/10858/85442/85300/65078/64084/4130/24141/9456/22983/729956/8633/79739/5599/27124/547/1826/54550/3897/27020/3208/4915/2045/1128/9148/3800/80725/274/26232/2556/26052/2550/491/84502/30819/9162/2567/22849/1393/8927/2915/50944/11255/2902/347/4036/1812/5414/306/11141/51617/3350/8001/3798/2258/4986/56899/2913/4900/9362/23046/5662/23114/57626/2917/26047/288/5126/401190/2903/6546/2563/2557/3775/1620/9912/793/3354/348980/51764/2555/257194/6543/2911/2558/3747/140679/2565/3356/57468/1996/5582/6860/57282/10814/815/10368"
"GO:0045211","postsynaptic membrane",-2.36693796458934,3.05373134328358e-09,"64084/107/729956/23017/2905/27020/386617/1272/2045/1128/114798/8301/6529/2556/26052/2550/1607/491/6900/2567/2562/2915/50944/2904/2902/57497/1812/145581/11141/80059/10369/8001/4986/2913/4900/2917/288/401190/2903/9890/6546/2563/2557/116443/2555/287/2911/2558/3747/2565/57528/3356/10368"
"GO:0006887","exocytosis",-2.32676956214554,3.05373134328358e-09,"376267/6844/4905/84258/8867/148/320/6453/783/9145/23025/8941/112755/134957/107/261729/5532/6812/8447/9066/6622/2039/5864/6855/80725/93664/26059/3815/11069/54843/9783/5579/9515/8448/1393/8911/6861/127833/6804/143425/1812/5414/5865/306/11141/63908/203190/27445/9699/29091/10815/9912/1113/116443/57586/115827/8618/3356/6854/5582/6860/22999/440279/6616/6857/7447/10814"
"GO:0022836","gated channel activity",-2.31322874903579,3.05373134328358e-09,"6324/90134/773/55799/9254/2905/22802/126755/131096/3763/3765/777/259232/10242/2556/30819/56923/56660/2567/2562/8911/2904/3787/27133/55800/57582/2902/23416/63895/10369/51555/6327/8001/7881/203859/80036/121601/2903/2563/2557/6262/3775/6326/348980/116443/27012/774/2555/2558/3747/2565/3760/6616/10368"
"GO:0099572","postsynaptic specialization",-2.3017861607081,3.05373134328358e-09,"64084/9456/53335/107/729956/6695/120/2905/2039/27020/4915/2045/1128/9148/80725/114798/8502/2556/26052/4744/491/5590/9162/9829/8224/22849/8927/2915/5063/50944/2904/2902/6804/57497/58512/145581/9478/10369/56899/2913/4900/22839/5662/27445/401190/2903/9890/6546/2557/9912/116443/57554/2555/6543/2911/2558/6457/6854/5582/815/10368"
"GO:0032279","asymmetric synapse",-2.29186017277772,3.05373134328358e-09,"51104/347731/4905/3708/22866/57537/2066/80863/55607/23542/4897/8997/64084/9456/53335/107/729956/6695/120/2905/2039/27020/4915/2045/1128/9148/80725/114798/8502/26052/4744/491/5590/9162/9829/8224/22849/8927/2915/5063/50944/2904/2902/6804/57497/58512/145581/9478/10369/56899/2913/4900/5662/2917/27445/401190/2903/9890/6546/9912/116443/57554/6543/2911/6457/6854/5582/815/10368"
"GO:0014069","postsynaptic density",-2.29084895645374,3.05373134328358e-09,"51104/347731/4905/3708/22866/57537/2066/80863/55607/23542/4897/8997/64084/9456/53335/107/729956/6695/120/2905/2039/27020/4915/2045/1128/9148/80725/114798/8502/26052/4744/491/5590/9162/9829/8224/22849/8927/2915/5063/50944/2904/2902/6804/57497/58512/145581/9478/10369/56899/2913/4900/5662/27445/401190/2903/9890/6546/9912/116443/57554/6543/2911/6457/6854/5582/815/10368"
"GO:0043025","neuronal cell body",-2.28781621071713,3.05373134328358e-09,"9378/477/114757/2674/4133/85442/5798/65078/4130/9456/22983/8633/6324/79739/773/3249/1826/6622/3897/3208/2045/9148/3800/80725/8301/777/6529/90249/2550/10382/491/6900/5590/6620/6750/1393/146760/6861/347/5414/306/9499/5136/8001/3798/4986/4900/6623/140767/7432/9362/57471/57626/26047/5126/401190/6546/2563/5274/10815/3775/1620/933/793/58157/116443/774/6863/2555/11075/257194/6543/2558/3747/3356/57468/1996/6860/5816/57282/10814"
"GO:0042391","regulation of membrane potential",-2.27991302347196,3.05373134328358e-09,"9472/3786/23542/783/4897/9378/477/781/112755/8514/6324/90134/6622/23620/83875/2905/4915/131096/1128/274/259232/10242/2556/2257/481/2550/9783/5590/29119/219736/30819/56660/2567/2562/2915/8911/50944/2904/151647/27133/55800/2902/6804/23416/1812/845/63895/10369/6327/8001/2258/9699/288/401190/2903/6546/2563/56853/2557/6262/3775/6326/348980/116443/5999/2555/287/6543/2911/2558/3747/2565/22999/3760"
"GO:0022890","inorganic cation transmembrane transporter activity",-2.2557923650907,3.05373134328358e-09,"3766/3708/3759/347051/6263/6558/6261/123041/123606/83733/9033/64849/3786/783/79815/57185/477/117155/781/54805/6511/8514/6324/90134/773/1346/55799/9254/85414/2905/6506/126755/131096/3763/3765/777/6529/259232/55532/10242/10396/6539/481/221074/491/6540/30819/56660/25769/7222/8911/2904/3787/27133/55800/6534/57582/2902/23416/53828/63895/10369/115584/51555/6327/7881/140803/55117/80036/2903/6546/285175/7781/492/6262/3775/6326/348980/116443/27012/774/6543/3747/140679/57468/57030/57282/3760/6616/10368"
"GO:0030133","transport vesicle",-2.24429657769281,3.05373134328358e-09,"376267/5799/6844/163882/3708/84258/284697/320/80863/9145/84623/1183/23025/5798/762/25924/112755/134957/24141/10966/83988/261729/9066/6622/1604/5864/6855/274/8301/2550/273/54843/9162/8224/8448/8927/79772/6861/22987/127833/2902/6804/143425/5414/5865/203190/57084/4986/4900/140767/5126/1211/2903/388662/7781/1113/2555/6843/57586/115827/140679/6854/9892/6860/440279/57030/132204/2572/6616/6857/114569"
"GO:0043269","regulation of ion transport",-2.21630209683185,3.05373134328358e-09,"80863/9472/816/3786/23542/5243/783/818/477/117155/64805/781/3306/8514/65268/9456/729956/6324/90134/773/2824/6812/55799/9066/6622/9254/57628/57520/3208/5864/1272/126755/131096/3763/1128/274/3765/777/6529/259232/55532/9071/3792/2257/481/2550/5354/84502/30819/56660/7018/1393/7222/2915/8911/154215/50944/3787/27133/6861/55800/127833/11255/2902/23416/143425/53828/1812/5865/3350/845/10369/825/6327/2258/7881/4986/6623/7432/5593/2917/766/288/5923/6546/6262/6326/27012/774/5999/57586/287/3747/3356/6860/3760/6857/815/10368"
"GO:0044297","cell body",-2.21469784806441,3.05373134328358e-09,"9378/477/114757/2674/64805/4133/85442/5798/83394/6014/65078/70/4130/9456/22983/8633/6324/79739/773/3249/1826/6622/3897/3208/6506/2045/9148/3800/80725/8301/777/6529/90249/2550/10382/491/6900/5590/6620/6750/1393/146760/6861/347/5414/306/9499/5136/8001/3798/4986/4900/6623/140767/7432/9362/57471/57626/26047/5126/401190/6546/2563/5274/10815/3775/1620/933/793/58157/116443/774/6863/2555/11075/257194/6543/2558/3747/3356/57468/1996/6860/5816/57282/10814"
