ID	adj.P.Val	P.Value	t	B	logFC	GB_ACC	Gene
27474	6.38E-12	9.56E-15	-9.0735862	23.108177	-0.66449823	NM_000447	PSEN2
30212	6.38E-12	9.56E-15	9.0734864	23.107687	1.09391076		XLOC_001257
19123	6.51E-12	9.87E-15	-9.0673097	23.077344	-0.78582093	NM_018714	COG1
9592	7.29E-12	1.12E-14	9.0427854	22.956886	1.30833499	NR_040079	LOC399715
49073	7.44E-12	1.15E-14	9.0364247	22.925648	0.84345532	NM_033338	CASP7
30113	7.80E-12	1.22E-14	-9.025177	22.870413	-0.73817094	NM_030613	ZFP2
10114	8.17E-12	1.29E-14	-9.0136641	22.813883	-0.84042984	NM_001512	GSTA4
6503	8.30E-12	1.33E-14	-9.0084863	22.78846	-0.59928466	NM_022497	MRPS25
12678	9.35E-12	1.51E-14	-8.9828759	22.662737	-1.19079385		XLOC_014280
52860	9.75E-12	1.59E-14	8.9725237	22.611926	0.89526289		Q8WY88
12398	9.84E-12	1.63E-14	8.9686511	22.59292	1.13132868	NM_001031680	RUNX3
54625	1.17E-11	1.95E-14	8.9331227	22.418586	2.1672954	NM_003890	FCGBP
46857	1.21E-11	2.05E-14	-8.9226845	22.367379	-1.00987525		XLOC_l2_015628
3163	1.21E-11	2.06E-14	-8.9216367	22.362239	-0.68774741	NM_000028	AGL
19947	1.23E-11	2.11E-14	-8.9168958	22.338984	-1.82823493		XLOC_l2_011798
36366	1.23E-11	2.14E-14	8.9142203	22.325861	1.00878707	XR_132665	LOC100652912
23773	1.26E-11	2.21E-14	-8.9075403	22.293096	-0.90667275	AF339771	
57816	1.26E-11	2.23E-14	8.9065927	22.288449	1.60102785	NM_032648	FAM167B
1291	1.31E-11	2.35E-14	-8.8961663	22.237314	-1.34618301	NM_002291	LAMB1
17502	1.33E-11	2.40E-14	-8.8913614	22.213752	-0.760141	NM_174920	SAMD14
6191	1.33E-11	2.42E-14	-8.8898442	22.206312	-0.64987546	NM_016292	TRAP1
14417	1.46E-11	2.69E-14	8.8692073	22.105127	1.12611316	NM_032034	SLC4A11
4062	1.49E-11	2.76E-14	8.8639312	22.079261	1.1516455	NM_032347	ZNF397
40298	1.50E-11	2.82E-14	-8.8600116	22.060047	-0.55164716	NM_012260	HACL1
61039	1.56E-11	2.97E-14	8.8494565	22.008309	1.47061714	NM_001736	C5AR1
39034	1.56E-11	2.98E-14	-8.849145	22.006783	-0.73741592	NM_015416	LETMD1
4666	1.59E-11	3.07E-14	-8.8432553	21.977916	-0.75662558	NM_025045	BAIAP2L2
44470	1.62E-11	3.14E-14	8.8383196	21.953726	0.6240842	NR_033711	TP73-AS1
30114	1.68E-11	3.29E-14	-8.8291566	21.908823	-0.70457246	NM_018380	DDX28
42832	1.71E-11	3.37E-14	8.8242763	21.884909	1.1260784	AY203941	
5836	1.72E-11	3.43E-14	-8.8208118	21.867934	-1.13232667	NM_006241	PPP1R2
22640	1.75E-11	3.52E-14	-8.8157833	21.843297	-0.83267772	NM_003273	TM7SF2
12044	1.99E-11	4.03E-14	8.7893356	21.713739	0.78532039	NM_145232	CTU1
1066	2.00E-11	4.09E-14	-8.785967	21.697241	-0.94810631	NM_001013838	RLTPR
9494	2.06E-11	4.25E-14	-8.7783624	21.659998	-1.66664504	NM_006584	CCT6B
5174	2.08E-11	4.35E-14	-8.7740379	21.638821	-1.01998961	NM_018040	GPATCH2
17802	2.08E-11	4.36E-14	-8.7737149	21.63724	-0.73745588	NM_015416	LETMD1
18815	2.20E-11	4.66E-14	8.7601663	21.5709	1.44160483	NM_001002029	C4B
40015	2.20E-11	4.69E-14	-8.7590226	21.565301	-2.17116462	NM_003378	VGF
3039	2.48E-11	5.33E-14	8.7336542	21.44112	1.956502	NM_020125	SLAMF8
21324	2.48E-11	5.36E-14	8.7324924	21.435434	0.54615959	NM_001197129	SYS1
46468	2.50E-11	5.46E-14	8.7290812	21.41874	0.84902198	BG676222	XLOC_l2_002351
47444	2.51E-11	5.52E-14	-8.7267153	21.407161	-2.47935831	NM_001018071	FRMPD2
2682	2.56E-11	5.69E-14	-8.7208207	21.378315	-0.75299323	NM_015416	LETMD1
8838	2.56E-11	5.71E-14	8.7201633	21.375098	0.64041483	NM_014681	DHX34
39777	2.61E-11	5.88E-14	-8.7143655	21.346729	-0.54832843	NM_007033	RER1
26884	2.78E-11	6.29E-14	-8.7009042	21.280869	-1.84305026	NR_026861	LINC00473
33488	2.79E-11	6.36E-14	-8.6987333	21.270249	-0.77848438	NM_004651	USP11
3848	2.82E-11	6.49E-14	-8.6946267	21.25016	-0.43484311	NM_001032288	UBE2V1
28854	2.84E-11	6.57E-14	-8.6921856	21.23822	-1.07273521	NR_033748	LOC644189
57717	3.14E-11	7.32E-14	8.6708124	21.13369	0.61486481	NM_199129	TMEM189
47599	3.29E-11	7.73E-14	-8.6599063	21.080363	-1.18874133	NM_004968	ICA1
14107	3.29E-11	7.84E-14	-8.6571904	21.067085	-0.5256208	NM_001001563	TIMM50
37549	3.29E-11	7.84E-14	-8.6571411	21.066844	-0.67061245	NM_018380	DDX28
58836	3.32E-11	7.99E-14	8.6534439	21.048769	0.61379358	NM_004559	YBX1
37849	3.32E-11	8.03E-14	-8.6523703	21.04352	-0.57639846	NM_012260	HACL1
1586	3.56E-11	8.69E-14	-8.6367461	20.967148	-0.72654714	NM_015416	LETMD1
34509	3.56E-11	8.73E-14	8.6359279	20.963149	1.14923579	BC050602	HIST1H2AC
18526	3.65E-11	9.02E-14	-8.6293499	20.931001	-0.5349334	NM_012260	HACL1
6389	3.70E-11	9.21E-14	-8.6253324	20.911368	-0.57555991	NM_012260	HACL1
56773	3.78E-11	9.45E-14	8.6200965	20.885783	0.89082993		ATP5E
15951	3.95E-11	9.95E-14	8.6098077	20.835513	0.9561196	NM_144570	HN1L
28848	4.03E-11	1.02E-13	-8.6045593	20.809873	-0.54441301	NM_012260	HACL1
19081	4.11E-11	1.05E-13	-8.5990664	20.78304	-2.3200933	XR_108854	XLOC_006548
50219	4.12E-11	1.06E-13	-8.5975694	20.775728	-1.90012728	NM_144715	EFHB
23960	4.12E-11	1.07E-13	8.5960642	20.768375	2.28217916	NM_001085	SERPINA3
58415	4.12E-11	1.08E-13	8.5942012	20.759276	1.62009491	NM_152628	SNX31
59022	4.12E-11	1.08E-13	-8.5930736	20.753768	-1.27191331	NM_152331	ACOT4
2078	4.12E-11	1.09E-13	-8.592135	20.749184	-0.97552594	NM_006647	NOXA1
43810	4.25E-11	1.13E-13	8.5849178	20.713936	1.28193862	NM_005261	GEM
50886	4.43E-11	1.18E-13	-8.5752064	20.666512	-0.68445942	NM_018380	DDX28
16347	4.46E-11	1.20E-13	8.5724993	20.653294	1.03098224	NM_182915	STEAP3
5542	4.59E-11	1.24E-13	-8.5656394	20.619801	-1.25497792	NM_001195	BFSP1
33998	4.64E-11	1.26E-13	-8.5623934	20.603954	-0.98494571	NR_028407	ARMCX4
9996	4.84E-11	1.33E-13	8.5527017	20.556644	0.71788112	BC057773	POGZ
45729	5.29E-11	1.46E-13	-8.5339753	20.465253	-0.80879249	NM_004671	PIAS2
7843	5.36E-11	1.50E-13	-8.5289925	20.440939	-1.02165418	NM_021626	SCPEP1
54733	5.36E-11	1.50E-13	8.5288561	20.440274	0.87702731	NM_004710	SYNGR2
43556	5.36E-11	1.51E-13	8.5276989	20.434627	0.45222651		
5265	6.01E-11	1.70E-13	-8.5034497	20.316337	-0.80348565	NM_020168	PAK6
47476	6.41E-11	1.82E-13	-8.4896276	20.248933	-1.01575184	NM_024308	DHRS11
54857	6.67E-11	1.91E-13	-8.4803438	20.203669	-0.86473301	NM_022006	FXYD7
23644	6.70E-11	1.94E-13	8.4773945	20.189291	0.51419864	NM_013260	SAP30BP
35366	6.70E-11	1.94E-13	-8.4772172	20.188427	-0.74618551	NR_038279	LOC100506930
10341	6.85E-11	2.00E-13	-8.4716333	20.161207	-0.85876398	NR_037875	LOC728730
32130	7.34E-11	2.15E-13	-8.4567372	20.088606	-1.70431966	AK096897	LOC283737
14400	7.47E-11	2.20E-13	-8.452041	20.065722	-0.72516586	NM_015416	LETMD1
45464	7.74E-11	2.29E-13	8.4438284	20.025707	0.96130437	NM_000413	HSD17B1
40546	7.74E-11	2.31E-13	8.4426709	20.020068	1.46869495	AK126241	LOC100233156
53757	7.78E-11	2.33E-13	8.4405415	20.009694	0.92610988	NM_001093725	MEX3A
56108	8.26E-11	2.49E-13	-8.4274463	19.945905	-0.61115566	NM_000447	PSEN2
39920	8.47E-11	2.58E-13	-8.4203559	19.911373	-1.26502223		
40530	8.47E-11	2.58E-13	-8.4203544	19.911366	-0.46111302	NM_018622	PARL
62243	8.61E-11	2.64E-13	8.4160397	19.890354	0.45134121	NM_012207	HNRNPH3
43186	8.61E-11	2.66E-13	-8.4140944	19.880881	-2.07617116	NM_001145454	STMN1
31990	8.61E-11	2.67E-13	8.4137037	19.878979	0.77815075	NM_001321	CSRP2
13478	8.64E-11	2.69E-13	8.412	19.870683	0.79716116	NM_000714	TSPO
34824	8.70E-11	2.72E-13	-8.4095813	19.858906	-0.91564374	NM_001009941	ANKRD16
26227	8.75E-11	2.76E-13	-8.4071509	19.847073	-1.00663201	NM_182795	NPM2
43370	9.08E-11	2.88E-13	8.398706	19.80596	1.07811603	NM_153023	SPATA13
13417	9.13E-11	2.91E-13	-8.3967202	19.796293	-0.76116615	NM_001745	CAMLG
62939	9.64E-11	3.09E-13	8.3846828	19.737704	0.56174273	NM_024656	GLT25D1
56430	1.03E-10	3.32E-13	8.3703724	19.668069	1.24434529	NM_001168682	SAP25
52688	1.03E-10	3.32E-13	-8.3699294	19.665914	-0.51196666	NM_012260	HACL1
8079	1.05E-10	3.42E-13	-8.3641069	19.637587	-0.65214593	NM_001007255	KLHDC9
57745	1.10E-10	3.59E-13	8.354694	19.591799	0.64079846	NM_012412	H2AFV
24044	1.12E-10	3.67E-13	-8.3500417	19.569172	-0.63985204	NM_014342	MTCH2
56660	1.18E-10	3.92E-13	8.3372829	19.507128	1.40027839	NM_022896	LPIN3
59515	1.18E-10	3.92E-13	8.3370158	19.505829	0.90905106		
39879	1.20E-10	3.99E-13	-8.333457	19.488526	-0.72836359	NM_001130677	C17orf96
15063	1.21E-10	4.05E-13	8.3306317	19.474791	1.23643235	NM_004918	TCL1B
54314	1.22E-10	4.10E-13	8.3282787	19.463352	0.71644789	NM_001145722	HOMER3
57221	1.25E-10	4.23E-13	8.3219311	19.432495	0.91899827	NM_175885	FAM181B
53678	1.26E-10	4.30E-13	8.318496	19.415799	0.74543743	NM_000051	ATM
18416	1.29E-10	4.42E-13	8.3131832	19.389978	0.71433957	NM_001195076	C19orf81
41572	1.32E-10	4.55E-13	-8.3074877	19.3623	-0.72746898	NM_015416	LETMD1
21853	1.32E-10	4.55E-13	8.3072043	19.360923	0.75076234	NM_012090	MACF1
50842	1.32E-10	4.58E-13	-8.3062208	19.356144	-0.80828292	XR_108619	LOC728052
25333	1.35E-10	4.72E-13	-8.2999572	19.32571	-0.62770021	NM_030969	TMEM14B
52315	1.37E-10	4.82E-13	8.2959248	19.306119	0.94841388	NM_013352	DSE
29099	1.40E-10	4.94E-13	-8.2907933	19.28119	-1.25205517	XR_111467	XLOC_l2_004306
47336	1.40E-10	4.99E-13	8.2891088	19.273007	1.35384321	BQ188485	XLOC_000604
33307	1.40E-10	4.99E-13	8.2890934	19.272932	0.6905495	NM_031449	ZMIZ2
36711	1.40E-10	5.02E-13	-8.2878773	19.267025	-1.04357637	AY280370	ZSCAN1
20969	1.41E-10	5.05E-13	-8.2865346	19.260503	-0.62895992	NR_002920	SNORA8
33936	1.46E-10	5.26E-13	-8.278576	19.22185	-0.54089844	NM_015398	FAM149A
10397	1.46E-10	5.29E-13	8.2771862	19.2151	1.21324514	BJ997522	
6082	1.46E-10	5.33E-13	-8.2757546	19.208148	-1.04305477	NM_001007246	BRWD1
14465	1.51E-10	5.51E-13	-8.269056	19.175621	-1.54285589		XLOC_000647
13000	1.57E-10	5.77E-13	-8.2600699	19.131993	-0.56182385	AW303581	
43056	1.57E-10	5.80E-13	-8.258775	19.125707	-0.69493055	NM_018380	DDX28
7308	1.58E-10	5.86E-13	-8.256693	19.1156	-0.81257006	NM_003273	TM7SF2
52214	1.63E-10	6.07E-13	-8.2498146	19.082213	-0.69055888	NM_018380	DDX28
60019	1.66E-10	6.22E-13	8.2450253	19.05897	0.8787948	NM_020746	MAVS
27744	1.77E-10	6.66E-13	8.2311986	18.991878	0.5603085	NM_017860	C1orf56
41468	1.78E-10	6.73E-13	8.2291357	18.98187	0.73992023	NM_001541	HSPB2
28539	1.95E-10	7.39E-13	8.2105481	18.891713	0.42653526	NM_012207	HNRNPH3
23076	1.96E-10	7.48E-13	-8.2081546	18.880106	-0.88925932	NM_001170781	FAM122C
31880	1.96E-10	7.50E-13	-8.2075815	18.877328	-1.90452208		XLOC_003474
29874	1.97E-10	7.59E-13	-8.2052448	18.865997	-0.65553953	NM_001017989	OPA3
14592	1.97E-10	7.61E-13	-8.2045907	18.862825	-0.83304048	NM_003273	TM7SF2
32175	2.04E-10	7.94E-13	-8.1961993	18.822141	-1.73156554		XLOC_010585
46652	2.09E-10	8.14E-13	-8.1911482	18.797656	-1.0888828	NR_024452	LOC100134259
27043	2.11E-10	8.25E-13	-8.1883735	18.784206	-1.29462885	XR_109254	LOC100287628
36791	2.20E-10	8.64E-13	-8.1792534	18.740005	-0.72092591	NM_015416	LETMD1
30405	2.25E-10	8.88E-13	-8.1737895	18.713529	-0.85303598	NR_040022	LOC100289495
7937	2.28E-10	9.07E-13	8.169599	18.693225	1.4382553	NM_012323	MAFF
62305	2.32E-10	9.24E-13	-8.1657305	18.674483	-0.79928055	XR_110530	LOC100507165
41484	2.40E-10	9.61E-13	8.1579522	18.636804	1.06069154	NM_012334	MYO10
7319	2.45E-10	9.83E-13	8.1533707	18.614614	0.56464397	NM_015198	COBL
9094	2.55E-10	1.03E-12	8.1443555	18.570956	1.42868135	NM_012323	MAFF
61477	2.61E-10	1.06E-12	8.1387233	18.543686	0.7498826	NM_002691	POLD1
60699	2.62E-10	1.07E-12	8.1368088	18.534417	0.6955188	NM_001014443	USP21
35697	2.69E-10	1.10E-12	-8.1308749	18.505691	-0.88166986	NM_024028	PCYOX1L
47991	2.69E-10	1.10E-12	8.1301311	18.50209	0.44555544	NM_012207	HNRNPH3
1273	2.72E-10	1.12E-12	-8.1265225	18.484624	-1.33313535	NM_019114	EPB41L4B
13312	2.72E-10	1.13E-12	8.1263598	18.483836	1.34453992	NR_028272	NEAT1
11346	2.73E-10	1.14E-12	-8.1233162	18.469105	-1.08810189	NM_001099294	KIAA1644
58167	2.73E-10	1.14E-12	-8.1231659	18.468378	-2.83526223	NM_000756	CRH
31517	2.73E-10	1.14E-12	8.1230347	18.467743	1.15523401	NM_000579	CCR5
8307	2.75E-10	1.16E-12	8.1207884	18.456871	0.59779555	NM_017865	ZNF692
52473	2.79E-10	1.18E-12	8.1172488	18.439742	1.44295273	NM_012323	MAFF
20552	2.79E-10	1.18E-12	-8.1162817	18.435062	-0.55175785	NM_000520	HEXA
39612	2.83E-10	1.20E-12	-8.1127702	18.418071	-1.87216207		XLOC_011095
8242	2.93E-10	1.25E-12	8.1048996	18.379992	1.43635871	NM_012323	MAFF
9648	2.94E-10	1.26E-12	8.10356	18.373511	0.67628803	NM_001198845	RBM14-RBM4
58262	2.96E-10	1.28E-12	-8.1011917	18.362055	-0.75222685	NM_015526	CLIP3
22815	2.99E-10	1.29E-12	8.0984593	18.348838	0.62942054	NM_152482	C19orf25
33859	3.06E-10	1.33E-12	-8.0930674	18.32276	-0.57941748	NM_017827	SARS2
38190	3.20E-10	1.40E-12	8.0827014	18.272633	1.3411347	NR_040071	LOC100131096
24980	3.20E-10	1.40E-12	8.0821527	18.269979	0.71959173	XM_001717763	
11418	3.27E-10	1.44E-12	8.0771935	18.246003	0.59316399	NM_030912	TRIM8
59696	3.27E-10	1.44E-12	8.0767393	18.243807	0.91643025	NM_014897	ZNF652
56609	3.27E-10	1.45E-12	8.0760554	18.240501	0.68943218	NR_024582	JPX
18272	3.28E-10	1.46E-12	-8.0743586	18.232299	-0.56968917	NM_024863	TCEAL4
29030	3.28E-10	1.46E-12	-8.0736901	18.229067	-0.36594612	NM_001636	SLC25A6
14564	3.28E-10	1.47E-12	8.0728289	18.224904	1.71066578	XM_001721393	
34565	3.39E-10	1.53E-12	-8.0653685	18.188844	-1.09520151	AK093718	SARS
60264	3.58E-10	1.62E-12	-8.0536377	18.132157	-1.28354258	NR_027252	CYP1B1-AS1
33306	3.62E-10	1.65E-12	-8.0499633	18.114404	-0.53741685	NM_020248	CTNNBIP1
42305	3.62E-10	1.65E-12	8.0497972	18.113601	1.80626654	NM_004444	EPHB4
61560	3.70E-10	1.69E-12	8.0448111	18.089514	0.43510727	NM_012207	HNRNPH3
50203	3.93E-10	1.80E-12	8.0321977	18.028593	0.73396094	NM_003621	PPFIBP2
36651	3.94E-10	1.81E-12	8.0306626	18.02118	1.0303405	NM_020663	RHOJ
9525	4.05E-10	1.87E-12	8.0243642	17.990769	0.87034327	NR_026762	LINC00263
24909	4.09E-10	1.90E-12	-8.0216149	17.977495	-0.70215817	NM_018116	MSTO1
50163	4.12E-10	1.91E-12	-8.0197866	17.968668	-0.83883996	NM_130837	OPA1
40837	4.20E-10	1.96E-12	8.0149925	17.945526	0.58799008	NM_032623	C4orf49
14735	4.32E-10	2.03E-12	8.0084086	17.913749	1.02280738	NM_001193552	ZNF850
24262	4.33E-10	2.04E-12	8.0073735	17.908753	1.24427166	NR_028272	NEAT1
753	4.36E-10	2.06E-12	8.0048987	17.89681	0.99112359	NM_001199054	C16orf5
60646	4.36E-10	2.07E-12	-8.0039204	17.892089	-0.67015697	NM_018380	DDX28
28149	4.36E-10	2.08E-12	-8.0035517	17.89031	-0.77718992	NM_001024732	MECR
56120	4.36E-10	2.08E-12	8.0030483	17.887881	0.61012517	XR_108783	LOC100507507
36043	4.38E-10	2.10E-12	8.0013362	17.879619	0.69570634	NM_006703	NUDT3
15897	4.42E-10	2.12E-12	7.998789	17.867328	0.39011395	NM_003932	ST13
2377	4.42E-10	2.13E-12	-7.9979832	17.86344	-0.62983882	NR_023938	C14orf132
16796	4.42E-10	2.14E-12	-7.9975921	17.861553	-1.41222255	AL833138	XLOC_l2_011798
60510	4.53E-10	2.20E-12	7.99173	17.833272	0.65624396	NR_037883	LOC100506421
2253	4.60E-10	2.24E-12	-7.9883132	17.81679	-0.84281464	NM_016319	COPS7A
48068	4.72E-10	2.31E-12	7.9821609	17.787116	0.58881309	NM_020382	SETD8
61011	4.79E-10	2.35E-12	7.9785575	17.769738	1.12589201	NM_033212	CCDC102A
51350	4.79E-10	2.37E-12	-7.9771917	17.763151	-0.54953303	NM_012260	HACL1
8559	4.79E-10	2.37E-12	7.9771461	17.762932	0.92188688	NM_001017915	INPP5D
61667	4.85E-10	2.41E-12	7.9738265	17.746924	0.98290061	NM_032251	CCDC88B
52739	5.08E-10	2.53E-12	7.9639438	17.699277	1.44977078	NM_005345	HSPA1A
18661	5.11E-10	2.55E-12	-7.9621339	17.690553	-1.01356183	NM_198867	ALKBH6
42453	5.39E-10	2.70E-12	7.9506267	17.635093	0.81513722	U78169	RAPGEF3
12758	5.40E-10	2.71E-12	7.9497048	17.63065	0.69804816	NM_000891	KCNJ2
2961	5.58E-10	2.82E-12	-7.9418715	17.592907	-0.83647708	NM_012309	SHANK2
46537	5.58E-10	2.82E-12	-7.9418127	17.592624	-0.41812722	NM_007273	PHB2
60169	5.65E-10	2.87E-12	7.9386057	17.577174	0.79705508	NM_001712	CEACAM1
