ID	adj.P.Val	P.Value	t	B	logFC	Gene	SPOT_ID
C10ORF104	9.78E-06	5.09E-08	6.037214	8.22597	0.4120527	C10ORF104	
PEX11B	9.80E-06	5.15E-08	-6.034501	8.21508	-0.6410422	PEX11B	
GPRASP2	9.80E-06	5.16E-08	-6.033784	8.21221	-0.88567978	GPRASP2	
PTPRN	9.81E-06	5.23E-08	-6.030915	8.20069	-0.88452728	PTPRN	
CITED1	9.81E-06	5.25E-08	-6.02974	8.19598	-0.16934762	CITED1	
CCDC102A	9.81E-06	5.26E-08	6.029256	8.19403	0.44978367	CCDC102A	
CISD1	9.99E-06	5.43E-08	-6.021811	8.16416	-0.60291437	CISD1	
UBE2V2	9.99E-06	5.44E-08	-6.021457	8.16275	-0.40524679	UBE2V2	
FAM54A	9.99E-06	5.45E-08	-6.020725	8.15981	-0.08253664	FAM54A	
CCDC125	1.00E-05	5.51E-08	6.018426	8.15059	0.67345702	CCDC125	
NGFRAP1	1.01E-05	5.55E-08	-6.016576	8.14317	-0.46761803	NGFRAP1	
ADAM32	1.05E-05	5.82E-08	-6.005113	8.09722	-0.06820408	ADAM32	
ZNF22	1.05E-05	5.85E-08	6.004005	8.09278	0.27944049	ZNF22	
TNFRSF10B	1.10E-05	6.16E-08	5.991719	8.04357	0.33047107	TNFRSF10B	
C5ORF22	1.11E-05	6.27E-08	-5.987714	8.02754	-0.431199	C5ORF22	
C15ORF52	1.12E-05	6.37E-08	5.983974	8.01256	0.77270265	C15ORF52	
TRIP10	1.17E-05	6.66E-08	5.973177	7.96936	0.28400814	TRIP10	
MGC5457	1.18E-05	6.79E-08	5.968424	7.95036	0.33628726	MGC5457	
DHDDS	1.22E-05	7.09E-08	-5.958377	7.91019	-0.24059041	DHDDS	
PLCG1	1.22E-05	7.10E-08	5.95807	7.90896	0.37422927	PLCG1	
BEX5	1.22E-05	7.11E-08	-5.957523	7.90678	-0.97030221	BEX5	
CRYM	1.23E-05	7.20E-08	-5.954496	7.89468	-0.70772899	CRYM	
MZF1	1.23E-05	7.24E-08	5.953317	7.88997	0.28037871	MZF1	
LMTK2	1.23E-05	7.39E-08	-5.948458	7.87056	-0.27158401	LMTK2	
TSPO	1.23E-05	7.39E-08	5.948231	7.86965	0.58655125	TSPO	
CYTSA	1.23E-05	7.41E-08	5.947677	7.86744	0.42370168	CYTSA	
TLR5	1.23E-05	7.42E-08	5.947509	7.86677	0.48678584	TLR5	
ITGB5	1.23E-05	7.42E-08	5.947362	7.86618	0.69170558	ITGB5	
UBE2N	1.23E-05	7.50E-08	-5.94473	7.85567	-0.78146645	UBE2N	
TLN2	1.23E-05	7.53E-08	-5.943936	7.85251	-0.49281452	TLN2	
SLC5A3	1.24E-05	7.65E-08	5.940126	7.83729	1.16537008	SLC5A3	
ENAH	1.24E-05	7.68E-08	5.939223	7.83369	0.38249361	ENAH	
TBC1D2B	1.27E-05	7.88E-08	5.932948	7.80864	0.37562515	TBC1D2B	
TGIF2	1.28E-05	7.99E-08	5.929808	7.79612	0.26399323	TGIF2	
MAGED1	1.30E-05	8.16E-08	-5.924846	7.77632	-0.41365622	MAGED1	
TBC1D9B	1.32E-05	8.30E-08	5.920506	7.75901	0.30796302	TBC1D9B	
PCNXL2	1.37E-05	8.67E-08	-5.910331	7.71845	-0.15810418	PCNXL2	
SLC6A12	1.37E-05	8.77E-08	5.907518	7.70724	0.90909363	SLC6A12	
ENDOG	1.37E-05	8.77E-08	-5.907504	7.70719	-0.29809991	ENDOG	
SLC6A17	1.38E-05	8.91E-08	-5.90366	7.69187	-0.72364722	SLC6A17	
ACRV1	1.38E-05	8.93E-08	-5.903059	7.68948	-0.21622995	ACRV1	
ARSG	1.39E-05	9.06E-08	-5.8997	7.6761	-0.14463402	ARSG	
U2AF2	1.39E-05	9.07E-08	5.89943	7.67503	0.30613402	U2AF2	
CNKSR3	1.39E-05	9.14E-08	5.897452	7.66715	0.45236443	CNKSR3	
CAPS	1.43E-05	9.45E-08	5.889482	7.63542	0.59979845	CAPS	
YBX1	1.43E-05	9.46E-08	5.889363	7.63495	0.57232778	YBX1	
DPP6	1.43E-05	9.51E-08	-5.888078	7.62984	-0.43414166	DPP6	
C7ORF52	1.43E-05	9.59E-08	-5.886084	7.6219	-0.19842162	C7ORF52	
A2ML1	1.43E-05	9.60E-08	5.885805	7.62079	0.22354107	A2ML1	NA
FYCO1	1.45E-05	9.78E-08	5.881317	7.60294	0.47691621	FYCO1	
CHCHD9	1.45E-05	9.84E-08	-5.879862	7.59715	-0.47589647	CHCHD9	
PPEF1	1.47E-05	9.99E-08	-5.876274	7.58288	-0.33158513	PPEF1	
GCN1L1	1.47E-05	1.00E-07	5.875127	7.57832	0.27665245	GCN1L1	
COL18A1	1.49E-05	1.03E-07	5.869497	7.55593	0.3168055	COL18A1	
NPTX2	1.52E-05	1.05E-07	-5.864678	7.53678	-1.22816404	NPTX2	
GNG13	1.54E-05	1.07E-07	-5.860481	7.5201	-0.13808136	GNG13	
CDK2AP1	1.58E-05	1.10E-07	5.852532	7.48853	0.40479483	CDK2AP1	
MRPS30	1.60E-05	1.12E-07	-5.848422	7.47221	-0.62129092	MRPS30	
ILK	1.65E-05	1.16E-07	5.839882	7.43832	0.33665532	ILK	
TSPAN7	1.65E-05	1.16E-07	-5.839678	7.43751	-0.71815186	TSPAN7	
LOC642921	1.65E-05	1.17E-07	5.838399	7.43244	0.19902216	LOC642921	
OLFM1	1.66E-05	1.18E-07	-5.836226	7.42382	-0.42832169	OLFM1	
POLR2H	1.67E-05	1.19E-07	5.833571	7.41328	0.30493697	POLR2H	
TUBB2A	1.67E-05	1.20E-07	-5.832257	7.40807	-0.98874132	TUBB2A	
SIRT1	1.67E-05	1.20E-07	5.831626	7.40557	0.26236062	SIRT1	
C13ORF1	1.67E-05	1.21E-07	-5.830247	7.4001	-0.52298145	C13ORF1	
SH2D5	1.69E-05	1.23E-07	-5.825568	7.38155	-0.34080022	SH2D5	
BDNF	1.69E-05	1.24E-07	-5.825358	7.38072	-0.17557722	BDNF	
BTBD7	1.69E-05	1.24E-07	5.824052	7.37554	0.15229388	BTBD7	
RN7SK	1.71E-05	1.26E-07	5.820205	7.3603	0.71293093	RN7SK	
BNIP3	1.71E-05	1.28E-07	-5.816938	7.34735	-0.41338386	BNIP3	
NRN1	1.71E-05	1.28E-07	-5.81682	7.34688	-0.46620841	NRN1	
SIPA1	1.71E-05	1.28E-07	5.816584	7.34595	0.75072257	SIPA1	
POLA1	1.72E-05	1.29E-07	5.815363	7.34111	0.29241027	POLA1	
NEDD8	1.73E-05	1.30E-07	-5.81233	7.3291	-0.25846979	NEDD8	
LOC100189589	1.73E-05	1.31E-07	-5.811702	7.32661	-0.18329717	LOC100189589	
ZHX3	1.73E-05	1.32E-07	5.809858	7.3193	0.56389891	ZHX3	
LRRC49	1.73E-05	1.33E-07	-5.80727	7.30906	-0.50622413	LRRC49	
PTRF	1.73E-05	1.34E-07	5.805477	7.30196	0.78308784	PTRF	
PCDH19	1.73E-05	1.34E-07	-5.805278	7.30117	-0.569669	PCDH19	
MOCS2	1.73E-05	1.34E-07	-5.805261	7.30111	-0.12329037	MOCS2	
LASS2	1.73E-05	1.34E-07	5.804892	7.29964	0.39748912	LASS2	
HS.143018	1.75E-05	1.36E-07	5.801807	7.28743	0.76229516	HS.143018	
PPP1R16A	1.77E-05	1.39E-07	5.797688	7.27113	0.55473074	PPP1R16A	
UXT	1.78E-05	1.41E-07	5.794187	7.25728	0.25489138	UXT	
IQGAP1	1.78E-05	1.41E-07	5.794023	7.25663	0.42462802	IQGAP1	
COQ6	1.79E-05	1.42E-07	-5.792299	7.24981	-0.17785497	COQ6	
C6ORF142	1.82E-05	1.45E-07	-5.78711	7.22929	-0.52836085	C6ORF142	
ZNF215	1.86E-05	1.48E-07	-5.781451	7.20691	-0.2246749	ZNF215	
ENPP5	1.86E-05	1.49E-07	-5.78067	7.20383	-0.53230351	ENPP5	
ALOX12B	1.86E-05	1.50E-07	-5.778728	7.19615	-0.20234524	ALOX12B	
SSH3	1.86E-05	1.51E-07	5.777021	7.18941	0.23233045	SSH3	
BCL2L12	1.86E-05	1.51E-07	5.776829	7.18865	0.15279551	BCL2L12	
KCNF1	1.86E-05	1.52E-07	-5.775528	7.18351	-0.49456589	KCNF1	
SMYD3	1.86E-05	1.52E-07	-5.77522	7.18229	-0.4257761	SMYD3	
HS.539915	1.87E-05	1.54E-07	-5.772456	7.17137	-0.14558734	HS.539915	
C2ORF80	1.87E-05	1.54E-07	-5.771901	7.16917	-0.91342417	C2ORF80	
ZNF652	1.88E-05	1.56E-07	5.769069	7.15799	0.58084002	ZNF652	
PLXDC2	1.88E-05	1.56E-07	5.768479	7.15566	0.54228281	PLXDC2	
ZNF786	1.88E-05	1.57E-07	5.767685	7.15252	0.75911793	ZNF786	
CBLN4	1.88E-05	1.58E-07	-5.76631	7.14709	-0.97480406	CBLN4	
NACC2	1.88E-05	1.58E-07	5.765325	7.1432	0.52444826	NACC2	
NEUROD6	1.88E-05	1.59E-07	-5.764671	7.14062	-0.46424824	NEUROD6	
RBM6	1.88E-05	1.59E-07	5.764263	7.13901	0.54752699	RBM6	
COX5A	1.88E-05	1.59E-07	-5.76415	7.13857	-0.43539605	COX5A	
NOTCH1	1.91E-05	1.63E-07	5.759	7.11823	0.69700617	NOTCH1	
HS.370359	1.92E-05	1.65E-07	5.756331	7.1077	0.41418118	HS.370359	
PPP4R1	1.92E-05	1.65E-07	5.755454	7.10424	0.26690514	PPP4R1	
ST6GALNAC5	1.94E-05	1.67E-07	-5.75295	7.09436	-1.01133869	ST6GALNAC5	
CACNB2	1.97E-05	1.70E-07	-5.747742	7.07381	-0.41652687	CACNB2	
LOC100131541	1.98E-05	1.72E-07	5.745332	7.06431	0.59982342	LOC100131541	
DNAJC27	1.99E-05	1.73E-07	-5.743949	7.05885	-0.28929563	DNAJC27	
NME1	2.01E-05	1.75E-07	-5.740882	7.04676	-0.55867659	NME1	
EVC	2.01E-05	1.76E-07	5.739868	7.04277	0.11160039	EVC	
POP7	2.01E-05	1.77E-07	-5.738287	7.03653	-0.34390535	POP7	
ZCCHC24	2.01E-05	1.77E-07	5.738233	7.03632	0.79822696	ZCCHC24	
PIP5K2B	2.03E-05	1.80E-07	5.734456	7.02144	0.60854483	PIP5K2B	
LILRA2	2.07E-05	1.85E-07	5.728501	6.99797	0.38340981	LILRA2	
TRIM48	2.07E-05	1.85E-07	-5.727901	6.99561	-0.31426182	TRIM48	
SPCS1	2.07E-05	1.85E-07	-5.727886	6.99555	-0.55379724	SPCS1	
A2BP1	2.07E-05	1.86E-07	-5.726647	6.99067	-0.52838513	A2BP1	NA
B3GALNT1	2.07E-05	1.86E-07	-5.726184	6.98885	-0.43099104	B3GALNT1	
VAMP2	2.07E-05	1.88E-07	-5.724728	6.98311	-1.10695711	VAMP2	
LOC390557	2.09E-05	1.90E-07	5.721848	6.97177	0.58268464	LOC390557	
CD63	2.09E-05	1.91E-07	5.720815	6.96771	0.40056557	CD63	
RAXL1	2.10E-05	1.92E-07	5.7192	6.96135	0.80065814	RAXL1	
B3GNT1	2.13E-05	1.96E-07	-5.714382	6.94238	-0.45761353	B3GNT1	
C2ORF30	2.16E-05	1.99E-07	-5.709768	6.92423	-0.64823324	C2ORF30	
CACNG3	2.16E-05	2.00E-07	-5.709684	6.9239	-0.78443363	CACNG3	
BEND7	2.17E-05	2.01E-07	5.708054	6.91749	0.19983369	BEND7	
TRIM56	2.17E-05	2.01E-07	5.707341	6.91468	0.52302129	TRIM56	
TMEM177	2.22E-05	2.07E-07	-5.700459	6.88762	-0.26370736	TMEM177	
CSNK2A1	2.22E-05	2.09E-07	-5.698866	6.88136	-0.25116363	CSNK2A1	
RBM17	2.22E-05	2.09E-07	5.698866	6.88136	0.41110948	RBM17	
NPTXR	2.24E-05	2.11E-07	-5.695597	6.86851	-0.5508095	NPTXR	
ATP6V1G2	2.27E-05	2.15E-07	-5.692136	6.8549	-0.92710951	ATP6V1G2	
DOLK	2.27E-05	2.16E-07	-5.690525	6.84858	-0.23395885	DOLK	
AHNAK	2.36E-05	2.24E-07	5.681241	6.81211	0.7936834	AHNAK	
WBSCR17	2.38E-05	2.28E-07	-5.676912	6.79511	-0.23462089	WBSCR17	
LOC440731	2.38E-05	2.29E-07	5.676729	6.7944	0.25169936	LOC440731	
RGS7	2.40E-05	2.32E-07	-5.673626	6.78222	-1.1214584	RGS7	
SLC35B1	2.40E-05	2.32E-07	-5.672805	6.779	-0.30986524	SLC35B1	
TBCA	2.40E-05	2.33E-07	-5.672538	6.77795	-0.29620204	TBCA	
HS.443490	2.41E-05	2.34E-07	-5.670735	6.77087	-0.48399865	HS.443490	
LEAP2	2.43E-05	2.37E-07	5.667661	6.75882	0.23093724	LEAP2	
HS.531457	2.44E-05	2.39E-07	5.665884	6.75184	0.5944043	HS.531457	
CD151	2.44E-05	2.41E-07	5.664242	6.7454	0.62534124	CD151	
LOC440043	2.44E-05	2.41E-07	-5.663578	6.7428	-0.34792088	LOC440043	
UHRF1	2.44E-05	2.41E-07	5.663574	6.74278	0.29412379	UHRF1	
ADIPOR2	2.45E-05	2.43E-07	5.661803	6.73584	0.49542536	ADIPOR2	
DTD1	2.46E-05	2.44E-07	-5.660703	6.73153	-0.35281992	DTD1	
