"","ENSEMBL","Length","SYMBOL","ENTREZID"
"48","ENSMUSG00000000276",8387,"Dgke","56077"
"49","ENSMUSG00000000278",2097,"Scpep1","74617"
"50","ENSMUSG00000000282",4627,"Mnt","17428"
"51","ENSMUSG00000000290",3052,"Itgb2","16414"
"52","ENSMUSG00000000295",3508,"Hddc2","69692"
"53","ENSMUSG00000000296",1323,"Tpd52l1","21987"
"54","ENSMUSG00000000301",2104,"Pemt","18618"
"55","ENSMUSG00000000303",4574,"Cdh1","12550"
"56","ENSMUSG00000000305",7257,"Cdh4","12561"
"57","ENSMUSG00000000308",2496,"Ckmt1","12716"
"58","ENSMUSG00000000317",3719,"Bcl6b","12029"
"59","ENSMUSG00000000318",2899,"Clec10a","17312"
"60","ENSMUSG00000000320",4085,"Alox12","11684"
"61","ENSMUSG00000000326",2532,"Comt","12846"
"62","ENSMUSG00000000339",1880,"Rtca","66368"
"63","ENSMUSG00000000340",3348,"Dbt","13171"
"64","ENSMUSG00000000346",2900,"Dazap2","23994"
"65","ENSMUSG00000000355",1571,"Mcts1","68995"
"66","ENSMUSG00000000359",2156,"Rem1","19700"
"67","ENSMUSG00000000365",6241,"Rnf17","30054"
"68","ENSMUSG00000000374",8128,"Trappc10","216131"
"69","ENSMUSG00000000378",3666,"Ccm2","216527"
"70","ENSMUSG00000000381",1008,"Wap","22373"
"71","ENSMUSG00000000384",3696,"Tbrg4","21379"
"72","ENSMUSG00000000385",7302,"Tmprss2","50528"
"73","ENSMUSG00000000386",3371,"Mx1","17857"
"74","ENSMUSG00000000392",5662,"Fap","14089"
"75","ENSMUSG00000000394",1494,"Gcg","14526"
"76","ENSMUSG00000000399",2101,"Ndufa9","66108"
"77","ENSMUSG00000000402",2704,"Egfl6","54156"
"78","ENSMUSG00000000409",2929,"Lck","16818"
"79","ENSMUSG00000000411",1280,"Tssk3","58864"
"80","ENSMUSG00000000416",8829,"Cttnbp2","30785"
"81","ENSMUSG00000000420",5519,"Galnt1","14423"
"82","ENSMUSG00000000435",2083,"Myf5","17877"
"83","ENSMUSG00000000439",7005,"Mkrn2","67027"
"84","ENSMUSG00000000440",2953,"Pparg","19016"
"85","ENSMUSG00000000441",6845,"Raf1","110157"
"86","ENSMUSG00000000486",2763,"Septin1","54204"
"87","ENSMUSG00000000486",2763,"Gm4532","100043580"
"88","ENSMUSG00000000489",4161,"Pdgfb","18591"
"89","ENSMUSG00000000530",4265,"Acvrl1","11482"
"90","ENSMUSG00000000531",2033,"Tamalin","56149"
"91","ENSMUSG00000000532",4418,"Acvr1b","11479"
"92","ENSMUSG00000000538",8764,"Tom1l2","216810"
"93","ENSMUSG00000000544",2742,"Gpa33","59290"
"94","ENSMUSG00000000552",2515,"Zfp385a","29813"
"95","ENSMUSG00000000555",4933,"Itga5","16402"
"96","ENSMUSG00000000560",7640,"Gabra2","14395"
"97","ENSMUSG00000000561",4841,"Wdr77","70465"
"98","ENSMUSG00000000562",3729,"Adora3","11542"
"99","ENSMUSG00000000562",3729,"Tmigd3","69296"
"100","ENSMUSG00000000563",4105,"Atp5pb","11950"
"101","ENSMUSG00000000567",4135,"Sox9","20682"
"102","ENSMUSG00000000568",7354,"Hnrnpd","11991"
"103","ENSMUSG00000000579",3777,"Dynlt1c","100040563"
"104","ENSMUSG00000000581",3995,"C1d","57316"
"105","ENSMUSG00000000594",4127,"Gm2a","14667"
"106","ENSMUSG00000000600",21853,"Krit1","79264"
"107","ENSMUSG00000000605",8575,"Clcn4","12727"
"108","ENSMUSG00000000606",4597,"Vmn2r88","669149"
"109","ENSMUSG00000000617",5421,"Grm6","108072"
"110","ENSMUSG00000000627",5290,"Sema4f","20355"
"111","ENSMUSG00000000628",5969,"Hk2","15277"
"112","ENSMUSG00000000631",16037,"Myo18a","360013"
"113","ENSMUSG00000000632",5779,"Sez6","20370"
"114","ENSMUSG00000000673",4681,"Haao","107766"
"115","ENSMUSG00000000682",1187,"Cd52","23833"
"116","ENSMUSG00000000686",3035,"Abhd15","67477"
"117","ENSMUSG00000000690",1964,"Hoxb6","15414"
"118","ENSMUSG00000000693",4603,"Loxl3","16950"
"119","ENSMUSG00000000701",1055,"Tcl1b5","27382"
"120","ENSMUSG00000000706",4119,"Btn1a1","12231"
"121","ENSMUSG00000000708",4867,"Kat2b","18519"
"122","ENSMUSG00000000711",4201,"Rab5b","19344"
"123","ENSMUSG00000000724",1594,"Cryba1","12957"
"124","ENSMUSG00000000730",2988,"Dnmt3l","54427"
"125","ENSMUSG00000000731",3825,"Aire","11634"
"126","ENSMUSG00000000732",4620,"Icosl","50723"
"127","ENSMUSG00000000738",4518,"Spg7","234847"
"128","ENSMUSG00000000739",4419,"Sult5a1","57429"
"129","ENSMUSG00000000740",2595,"Rpl13","270106"
"130","ENSMUSG00000000743",3272,"Chmp1a","234852"
"131","ENSMUSG00000000751",5578,"Rpa1","68275"
"132","ENSMUSG00000000753",2359,"Serpinf1","20317"
"133","ENSMUSG00000000759",8568,"Tubgcp3","259279"
"134","ENSMUSG00000000766",8037,"Oprm1","18390"
"135","ENSMUSG00000000776",2854,"Polr3d","67065"
"136","ENSMUSG00000000782",3019,"Tcf7","21414"
"137","ENSMUSG00000000787",5277,"Ddx3x","13205"
"138","ENSMUSG00000000791",4105,"Il12rb1","16161"
"139","ENSMUSG00000000792",2928,"Slc5a5","114479"
"140","ENSMUSG00000000794",10451,"Kcnn3","140493"
"141","ENSMUSG00000000804",7680,"Usp32","237898"
"142","ENSMUSG00000000805",1966,"Car4","12351"
"143","ENSMUSG00000000811",2836,"Txnrd3","232223"
"144","ENSMUSG00000000817",1937,"Fasl","14103"
"145","ENSMUSG00000000823",6810,"Zfp512b","269401"
"146","ENSMUSG00000000826",6953,"Dnajc5","13002"
"147","ENSMUSG00000000827",4982,"Tpd52l2","66314"
"148","ENSMUSG00000000838",8966,"Fmr1","14265"
"149","ENSMUSG00000000861",13175,"Bcl11a","14025"
"150","ENSMUSG00000000869",1227,"Il4","16189"
"151","ENSMUSG00000000876",3114,"Pxmp4","59038"
"152","ENSMUSG00000000881",5844,"Dlg3","53310"
"153","ENSMUSG00000000884",4219,"Gnb1l","13972"
"154","ENSMUSG00000000889",2692,"Dbh","13166"
"155","ENSMUSG00000000901",2778,"Mmp11","17385"
"156","ENSMUSG00000000902",7930,"Smarcb1","20587"
"157","ENSMUSG00000000903",859,"Vpreb3","22364"
"158","ENSMUSG00000000915",7369,"Hip1r","29816"
"159","ENSMUSG00000000916",4317,"Nsun5","100609"
"160","ENSMUSG00000000934",2043,"Top1mt","72960"
"161","ENSMUSG00000000938",3270,"Hoxa10","15395"
"162","ENSMUSG00000000942",1594,"Hoxa4","15401"
"163","ENSMUSG00000000957",5960,"Mmp14","17387"
"164","ENSMUSG00000000958",3315,"Slc7a7","20540"
"165","ENSMUSG00000000959",4457,"Oxa1l","69089"
"166","ENSMUSG00000000976",6419,"Heatr6","217026"
"167","ENSMUSG00000000982",766,"Ccl3","20302"
"168","ENSMUSG00000000983",1220,"Wfdc18","14038"
"169","ENSMUSG00000001014",1110,"Icam4","78369"
"170","ENSMUSG00000001016",8580,"Ilf2","67781"
"171","ENSMUSG00000001017",3637,"Chtop","66511"
"172","ENSMUSG00000001018",2290,"Snapin","20615"
"173","ENSMUSG00000001020",584,"S100a4","20198"
"174","ENSMUSG00000001021",2670,"S100a3","20197"
"175","ENSMUSG00000001023",432,"S100a5","20199"
"176","ENSMUSG00000001025",1367,"S100a6","20200"
"177","ENSMUSG00000001027",7041,"Scn4a","110880"
"178","ENSMUSG00000001029",1904,"Icam2","15896"
"179","ENSMUSG00000001034",4394,"Mapk7","23939"
"180","ENSMUSG00000001036",5228,"Epn2","13855"
"181","ENSMUSG00000001039",1593,"B9d1","27078"
"182","ENSMUSG00000001052",6020,"Sec24b","99683"
"183","ENSMUSG00000001053",2728,"N4bp3","212706"
"184","ENSMUSG00000001054",2161,"Rmnd5b","66089"
"185","ENSMUSG00000001056",1146,"Nhp2","52530"
"186","ENSMUSG00000001062",5153,"Vps9d1","72325"
"187","ENSMUSG00000001065",5530,"Zfp276","57247"
"188","ENSMUSG00000001076",1474,"C1ql4","239659"
"189","ENSMUSG00000001082",2894,"Mfsd10","68294"
"190","ENSMUSG00000001089",8112,"Luzp1","269593"
"191","ENSMUSG00000001095",2412,"Slc13a2","20500"
"192","ENSMUSG00000001098",4039,"Kctd10","330171"
"193","ENSMUSG00000001100",3783,"Poldip2","67811"
"194","ENSMUSG00000001103",1359,"Sebox","18292"
"195","ENSMUSG00000001105",1525,"Ift20","55978"
"196","ENSMUSG00000001119",4380,"Col6a1","12833"
"197","ENSMUSG00000001120",2933,"Pcbp3","59093"
"198","ENSMUSG00000001123",2137,"Lgals9","16859"
"199","ENSMUSG00000001127",6541,"Araf","11836"
"200","ENSMUSG00000001128",1736,"Cfp","18636"
"201","ENSMUSG00000001131",888,"Timp1","21857"
"202","ENSMUSG00000001134",1639,"Uxt","22294"
"203","ENSMUSG00000001138",6420,"Cnnm3","94218"
"204","ENSMUSG00000001143",7359,"Lman2l","214895"
"205","ENSMUSG00000001150",7197,"Mcm3ap","54387"
"206","ENSMUSG00000001151",12154,"Pcnt","18541"
"207","ENSMUSG00000001155",3192,"Ftcd","14317"
"208","ENSMUSG00000001156",7072,"Mxd1","17119"
"209","ENSMUSG00000001157",6493,"Gmcl1","23885"
"210","ENSMUSG00000001158",1837,"Snrnp27","66618"
"211","ENSMUSG00000001166",2405,"Oas1c","114643"
"212","ENSMUSG00000001168",1703,"Oas1h","246729"
"213","ENSMUSG00000001173",9486,"Ocrl","320634"
"214","ENSMUSG00000001175",4706,"Calm1","12313"
"215","ENSMUSG00000001211",7790,"Agpat3","28169"
"216","ENSMUSG00000001225",6369,"Slc26a3","13487"
"217","ENSMUSG00000001227",3968,"Sema6b","20359"
"218","ENSMUSG00000001228",4259,"Uhrf1","18140"
"219","ENSMUSG00000001229",7883,"Dpp9","224897"
"220","ENSMUSG00000001240",3301,"Ramp2","54409"
"221","ENSMUSG00000001247",2172,"Lsr","54135"
"222","ENSMUSG00000001248",5239,"Gramd1a","52857"
"223","ENSMUSG00000001249",4101,"Hpn","15451"
"224","ENSMUSG00000001260",7869,"Gabrg1","14405"
"225","ENSMUSG00000001270",2895,"Ckb","12709"
"226","ENSMUSG00000001280",8262,"Sp1","20683"
"227","ENSMUSG00000001281",2770,"Itgb7","16421"
"228","ENSMUSG00000001285",2823,"Myg1","60315"
"229","ENSMUSG00000001288",4261,"Rarg","19411"
"230","ENSMUSG00000001289",1394,"Pfdn5","56612"
"231","ENSMUSG00000001300",6855,"Efnb2","13642"
"232","ENSMUSG00000001305",3239,"Rrp15","67223"
"233","ENSMUSG00000001313",1990,"Rnd2","11858"
"234","ENSMUSG00000001323",4560,"Srr","27364"
"235","ENSMUSG00000001333",2862,"Sync","68828"
"236","ENSMUSG00000001334",2763,"Fndc5","384061"
"237","ENSMUSG00000001348",2030,"Acp5","11433"
"238","ENSMUSG00000001349",2736,"Cnn1","12797"
"239","ENSMUSG00000001366",3103,"Fbxo9","71538"
"240","ENSMUSG00000001376",10856,"Vps50","73288"
"241","ENSMUSG00000001380",2447,"Hars","15115"
"242","ENSMUSG00000001383",2592,"Zmat2","66492"
"243","ENSMUSG00000001403",2600,"Ube2c","68612"
"244","ENSMUSG00000001415",6956,"Smg5","229512"
"245","ENSMUSG00000001416",6370,"Cct3","12462"
"246","ENSMUSG00000001418",6291,"Glmp","56700"
"247","ENSMUSG00000001419",5985,"Mef2d","17261"
"248","ENSMUSG00000001420",2912,"Tmem79","71913"
"249","ENSMUSG00000001424",9757,"Snd1","56463"
"250","ENSMUSG00000001435",7021,"Col18a1","12822"
"251","ENSMUSG00000001436",4644,"Slc19a1","20509"
"252","ENSMUSG00000001440",6590,"Kpnb1","16211"
"253","ENSMUSG00000001441",7206,"Npepps","19155"
"254","ENSMUSG00000001444",2488,"Tbx21","57765"
"255","ENSMUSG00000001445",1708,"Mrpl10","107732"
"256","ENSMUSG00000001467",4415,"Cyp51","13121"
"257","ENSMUSG00000001472",5390,"Tcf25","66855"
"258","ENSMUSG00000001473",2437,"Tubb6","67951"
"259","ENSMUSG00000001482",4408,"Def8","23854"
"260","ENSMUSG00000001493",2228,"Meox1","17285"
"261","ENSMUSG00000001494",2066,"Sost","74499"
"262","ENSMUSG00000001496",2842,"Nkx2-1","21869"
"263","ENSMUSG00000001497",5056,"Pax9","18511"
"264","ENSMUSG00000001504",3282,"Irx2","16372"
"265","ENSMUSG00000001506",6563,"Col1a1","12842"
"266","ENSMUSG00000001507",5710,"Itga3","16400"
"267","ENSMUSG00000001508",1735,"Sgca","20391"
"268","ENSMUSG00000001510",2607,"Dlx3","13393"
"269","ENSMUSG00000001517",5754,"Foxm1","14235"
"270","ENSMUSG00000001518",7096,"Itfg2","101142"
"271","ENSMUSG00000001520",3757,"Nrip2","60345"
"272","ENSMUSG00000001521",9342,"Tulp3","22158"
"273","ENSMUSG00000001524",3313,"Gtf2h4","14885"
"274","ENSMUSG00000001525",3327,"Tubb5","22154"
"275","ENSMUSG00000001542",9828,"Ell2","192657"
"276","ENSMUSG00000001552",6436,"Jup","16480"
"277","ENSMUSG00000001555",2935,"Fkbp10","14230"
"278","ENSMUSG00000001558",2161,"Klhl10","66720"
"279","ENSMUSG00000001566",2250,"Mnx1","15285"
"280","ENSMUSG00000001569",9232,"Nom1","433864"
"281","ENSMUSG00000001576",8888,"Ergic1","67458"
"282","ENSMUSG00000001583",3329,"Tnk1","83813"
"283","ENSMUSG00000001588",4878,"Acap1","216859"
"284","ENSMUSG00000001604",1400,"Tcea3","21401"
"285","ENSMUSG00000001622",4152,"Csn3","12994"
"286","ENSMUSG00000001627",5858,"Ifrd1","15982"
"287","ENSMUSG00000001630",4880,"Stk38l","232533"
"288","ENSMUSG00000001632",6779,"Brpf1","78783"
"289","ENSMUSG00000001642",8384,"Akr1b3","11677"
"290","ENSMUSG00000001655",2461,"Hoxc13","15422"
"291","ENSMUSG00000001656",2021,"Hoxc11","109663"
"292","ENSMUSG00000001657",2832,"Hoxc8","15426"
"293","ENSMUSG00000001661",2408,"Hoxc6","15425"
"294","ENSMUSG00000001663",1528,"Gstt1","14871"
"295","ENSMUSG00000001665",3842,"Gstt3","103140"
"296","ENSMUSG00000001666",773,"Ddt","13202"
"297","ENSMUSG00000001670",2405,"Tat","234724"
"298","ENSMUSG00000001672",3284,"Marveld3","73608"
"299","ENSMUSG00000001674",2483,"Ddx18","66942"
"300","ENSMUSG00000001687",8098,"Ubl3","24109"
"301","ENSMUSG00000001700",5679,"Gramd3","107022"
"302","ENSMUSG00000001707",3257,"Eef1e1","66143"
"303","ENSMUSG00000001729",4098,"Akt1","11651"
"304","ENSMUSG00000001739",2124,"Cldn15","60363"
"305","ENSMUSG00000001741",7865,"Il16","16170"
"306","ENSMUSG00000001750",4603,"Tcirg1","27060"
"307","ENSMUSG00000001751",2658,"Naglu","27419"
"308","ENSMUSG00000001755",2867,"Coasy","71743"
"309","ENSMUSG00000001761",5621,"Smo","319757"
"310","ENSMUSG00000001763",5195,"Tspan33","232670"
"311","ENSMUSG00000001767",3844,"Crnkl1","66877"
"312","ENSMUSG00000001768",11271,"Rin2","74030"
"313","ENSMUSG00000001768",11271,"BC039771","408057"
"314","ENSMUSG00000001773",3210,"Folh1","53320"
"315","ENSMUSG00000001774",7498,"Chordc1","66917"
"316","ENSMUSG00000001783",2615,"Rtcb","28088"
"317","ENSMUSG00000001785",2942,"Pwp1","103136"
"318","ENSMUSG00000001786",6180,"Fbxo7","69754"
"319","ENSMUSG00000001794",2477,"Capns1","12336"
"320","ENSMUSG00000001802",4700,"Lrp3","435965"
"321","ENSMUSG00000001804",3478,"Dsg4","16769"
"322","ENSMUSG00000001815",4191,"Evx2","14029"
"323","ENSMUSG00000001819",2483,"Hoxd13","15433"
"324","ENSMUSG00000001823",2534,"Hoxd12","15432"
"325","ENSMUSG00000001827",2297,"Folr1","14275"
"326","ENSMUSG00000001829",9960,"Clpb","20480"
"327","ENSMUSG00000001833",11631,"Septin7","235072"
"328","ENSMUSG00000001844",2864,"Zdhhc4","72881"
"329","ENSMUSG00000001847",4496,"Rac1","19353"
"330","ENSMUSG00000001855",9659,"Nup214","227720"
"331","ENSMUSG00000001864",4032,"Aif1l","108897"
"332","ENSMUSG00000001865",1517,"Cpa3","12873"
"333","ENSMUSG00000001870",10691,"Ltbp1","268977"
"334","ENSMUSG00000001891",3069,"Ugp2","216558"
"335","ENSMUSG00000001901",3549,"Kcnh6","192775"
"336","ENSMUSG00000001909",6306,"Trmt1","212528"
"337","ENSMUSG00000001910",4673,"Nacc1","66830"
"338","ENSMUSG00000001911",7351,"Nfix","18032"
"339","ENSMUSG00000001918",4173,"Slc1a5","20514"
"340","ENSMUSG00000001924",4819,"Uba1","22201"
"341","ENSMUSG00000001930",16064,"Vwf","22371"
"342","ENSMUSG00000001942",10497,"Siae","22619"
"343","ENSMUSG00000001943",1979,"Vsig2","57276"
"344","ENSMUSG00000001946",2867,"Esam","69524"
"345","ENSMUSG00000001948",1061,"Spa17","20686"
"346","ENSMUSG00000001962",2288,"Fam50a","108160"
"347","ENSMUSG00000001964",2517,"Emd","13726"
"348","ENSMUSG00000001983",1383,"Taco1","70207"
"349","ENSMUSG00000001985",8973,"Grik3","14807"
"350","ENSMUSG00000001986",9859,"Gria3","53623"
"351","ENSMUSG00000001988",3009,"Npas1","18142"
"352","ENSMUSG00000001995",9617,"Sipa1l2","244668"
"353","ENSMUSG00000001998",9810,"Ap4e1","108011"
"354","ENSMUSG00000001999",2446,"Blvra","109778"
"355","ENSMUSG00000002006",3970,"Pdzd4","245469"
"356","ENSMUSG00000002007",2784,"Srpk3","56504"
"357","ENSMUSG00000002010",2701,"Idh3g","15929"
"358","ENSMUSG00000002012",1971,"Pnck","93843"
"359","ENSMUSG00000002014",3096,"Ssr4","20832"
"360","ENSMUSG00000002015",1219,"Bcap31","27061"
"361","ENSMUSG00000002017",3564,"Fam98a","72722"
"362","ENSMUSG00000002020",8184,"Ltbp2","16997"
"363","ENSMUSG00000002028",16670,"Kmt2a","214162"
"364","ENSMUSG00000002031",6416,"Ift46","76568"
"365","ENSMUSG00000002032",3212,"Tmem25","71687"
"366","ENSMUSG00000002033",3269,"Cd3g","12502"
"367","ENSMUSG00000002043",1589,"Trappc6a","67091"
"368","ENSMUSG00000002052",7095,"Supt6","20926"
"369","ENSMUSG00000002055",5624,"Spag5","54141"
"370","ENSMUSG00000002057",3214,"Foxn1","15218"
"371","ENSMUSG00000002058",2448,"Unc119","22248"
"372","ENSMUSG00000002059",2385,"Rab34","19376"
"373","ENSMUSG00000002064",1515,"Sdf2","20316"
"374","ENSMUSG00000002068",2662,"Ccne1","12447"
"375","ENSMUSG00000002076",3589,"Hsf2bp","74377"
"376","ENSMUSG00000002083",2124,"Bbc3","170770"
"377","ENSMUSG00000002100",4163,"Mybpc3","17868"
"378","ENSMUSG00000002102",2607,"Psmc3","19182"
"379","ENSMUSG00000002103",5186,"Acp2","11432"
"380","ENSMUSG00000002104",1802,"Rapsn","19400"
"381","ENSMUSG00000002105",4869,"Slc39a13","68427"
"382","ENSMUSG00000002107",25884,"Celf2","14007"
"383","ENSMUSG00000002108",2515,"Nr1h3","22259"
"384","ENSMUSG00000002109",2736,"Ddb2","107986"
"385","ENSMUSG00000002111",2695,"Spi1","20375"
"386","ENSMUSG00000002129",6147,"Sf3a1","67465"
"387","ENSMUSG00000002147",4402,"Stat6","20852"
"388","ENSMUSG00000002190",4025,"Clgn","12745"
"389","ENSMUSG00000002204",2660,"Napsa","16541"
"390","ENSMUSG00000002205",6744,"Vrk3","101568"
"391","ENSMUSG00000002210",3702,"Smg9","71997"
"392","ENSMUSG00000002221",10271,"Paxip1","55982"
"393","ENSMUSG00000002222",6783,"Rmnd5a","68477"
"394","ENSMUSG00000002227",5607,"Mov10","17454"
"395","ENSMUSG00000002228",1814,"Ppm1j","71887"
"396","ENSMUSG00000002233",1618,"Rhoc","11853"
"397","ENSMUSG00000002240",1337,"Prr27","73779"
"398","ENSMUSG00000002249",6714,"Tead3","21678"
"399","ENSMUSG00000002250",7514,"Ppard","19015"
"400","ENSMUSG00000002250",7514,"1810013A23Rik","69050"
"401","ENSMUSG00000002257",2672,"Def6","23853"
"402","ENSMUSG00000002265",13616,"Peg3","18616"
"403","ENSMUSG00000002266",8086,"Zim1","22776"
"404","ENSMUSG00000002274",3771,"Metrn","70083"
"405","ENSMUSG00000002279",13589,"Lmf1","76483"
"406","ENSMUSG00000002280",6223,"Ciao3","67563"
"407","ENSMUSG00000002289",3541,"Angptl4","57875"
"408","ENSMUSG00000002297",8728,"Dbf4","27214"
"409","ENSMUSG00000002307",3151,"Daxx","13163"
"410","ENSMUSG00000002308",2883,"Cd320","54219"
"411","ENSMUSG00000002319",4669,"Ipo4","75751"
"412","ENSMUSG00000002320",3880,"Tm9sf1","74140"
"413","ENSMUSG00000002324",2935,"Rec8","56739"
"414","ENSMUSG00000002325",5386,"Irf9","16391"
"415","ENSMUSG00000002326",3925,"Gmpr2","105446"
"416","ENSMUSG00000002329",2032,"Mdp1","67881"
"417","ENSMUSG00000002332",2760,"Dhrs1","52585"
"418","ENSMUSG00000002341",7195,"Ncan","13004"
"419","ENSMUSG00000002342",3673,"Tmem161a","234371"
"420","ENSMUSG00000002343",3262,"Armc6","76813"
"421","ENSMUSG00000002345",1468,"Borcs8","72368"
"422","ENSMUSG00000002346",5996,"Slc25a42","73095"
"423","ENSMUSG00000002365",3617,"Snx9","66616"
"424","ENSMUSG00000002372",6960,"Ranbp3","71810"
"425","ENSMUSG00000002379",1092,"Ndufa11","69875"
"426","ENSMUSG00000002384",3880,"Bmp8b","12164"
"427","ENSMUSG00000002393",2983,"Nr2f6","13864"
"428","ENSMUSG00000002395",2203,"Use1","67023"
"429","ENSMUSG00000002396",7133,"Ocel1","77090"
"430","ENSMUSG00000002409",2695,"Dyrk1b","13549"
"431","ENSMUSG00000002413",13862,"Braf","109880"
"432","ENSMUSG00000002416",5628,"Ndufb2","68198"
"433","ENSMUSG00000002428",5931,"Hltf","20585"
"434","ENSMUSG00000002455",3859,"Prpf6","68879"
"435","ENSMUSG00000002458",2230,"Rgs19","56470"
"436","ENSMUSG00000002459",4239,"Rgs20","58175"
"437","ENSMUSG00000002475",2334,"Abhd3","106861"
"438","ENSMUSG00000002477",2052,"Snrpd1","20641"
"439","ENSMUSG00000002486",7397,"Tchp","77832"
"440","ENSMUSG00000002489",10048,"Tiam1","21844"
"441","ENSMUSG00000002496",9620,"Tsc2","22084"
"442","ENSMUSG00000002500",1643,"Rpl3l","66211"
"443","ENSMUSG00000002504",2646,"Slc9a3r2","65962"
"444","ENSMUSG00000002524",4748,"Puf60","67959"
"445","ENSMUSG00000002546",5500,"Golga2","99412"
"446","ENSMUSG00000002550",2751,"Uck1","22245"
"447","ENSMUSG00000002565",2999,"Scin","20259"
"448","ENSMUSG00000002578",6461,"Ikzf4","22781"
"449","ENSMUSG00000002580",747,"Mien1","103742"
"450","ENSMUSG00000002588",2898,"Pon1","18979"
"451","ENSMUSG00000002602",5033,"Axl","26362"
"452","ENSMUSG00000002603",5042,"Tgfb1","21803"
"453","ENSMUSG00000002608",3939,"Ccdc97","52132"
"454","ENSMUSG00000002617",4482,"Zfp40","22700"
"455","ENSMUSG00000002625",5073,"Akap8l","54194"
"456","ENSMUSG00000002633",2847,"Shh","20423"
"457","ENSMUSG00000002635",1549,"Pdcd2l","68079"
"458","ENSMUSG00000002658",1717,"Gtf2f1","98053"
"459","ENSMUSG00000002660",1223,"Clpp","53895"
"460","ENSMUSG00000002661",1029,"Alkbh7","66400"
"461","ENSMUSG00000002664",474,"Pspn","19197"
"462","ENSMUSG00000002668",5109,"Dennd1c","70785"
"463","ENSMUSG00000002679",1447,"Med6","69792"
"464","ENSMUSG00000002688",3653,"Prkd1","18760"
"465","ENSMUSG00000002699",4459,"Lcp2","16822"
"466","ENSMUSG00000002718",5273,"Cse1l","110750"
"467","ENSMUSG00000002728",3705,"Naa20","67877"
"468","ENSMUSG00000002731",2028,"Prkra","23992"
"469","ENSMUSG00000002732",1485,"Fkbp7","14231"
"470","ENSMUSG00000002733",3126,"Plekha3","83435"
"471","ENSMUSG00000002741",2984,"Ykt6","56418"
"472","ENSMUSG00000002748",13667,"Baz1b","22385"
"473","ENSMUSG00000002763",3796,"Pex6","224824"
"474","ENSMUSG00000002767",1170,"Mrpl2","27398"
"475","ENSMUSG00000002768",1844,"Mea1","17256"
"476","ENSMUSG00000002769",1206,"Gnmt","14711"
"477","ENSMUSG00000002771",6658,"Grin2d","14814"
"478","ENSMUSG00000002778",1874,"Kdelr1","68137"
"479","ENSMUSG00000002781",7518,"Tmem143","70209"
"480","ENSMUSG00000002791",950,"Pdxk-ps","435518"
"481","ENSMUSG00000002797",7745,"Ggct","110175"
"482","ENSMUSG00000002799",6965,"Jag2","16450"
"483","ENSMUSG00000002803",2324,"Btbd6","399566"
