gene	mean	median	longest_isoform	merged
ENSG00000238290	2044	2044	2044	2044
ENSG00000225387	491	491	491	491
ENSG00000048707	3933	1303	16357	20768
ENSG00000158748	3800	3800	3800	3800
ENSG00000225196	316	316	316	316
ENSG00000162444	743	743	861	862
ENSG00000279625	1853	1853	1853	1853
ENSG00000180758	1951	458	5197	5304
ENSG00000184677	5983	8368	8992	9169
ENSG00000230679	456	456	456	456
ENSG00000270136	803	820	999	1276
ENSG00000288398	2662	2662	2662	2662
ENSG00000224621	544	544	544	544
ENSG00000285833	1051	1051	1051	1051
ENSG00000131697	3293	3967	5548	13167
ENSG00000284692	1239	830	2210	2316
ENSG00000284745	1325	1325	1509	1654
ENSG00000280222	6473	6473	6473	6473
ENSG00000227634	692	683	896	1001
ENSG00000285945	593	593	593	593
ENSG00000229162	820	820	820	820
ENSG00000197921	1324	1324	1324	1324
ENSG00000233755	552	552	614	863
ENSG00000233929	186	186	186	186
ENSG00000271742	256	256	256	256
ENSG00000226396	455	455	455	455
ENSG00000169504	2021	1697	4253	4467
ENSG00000234166	439	439	439	439
ENSG00000235282	266	266	266	266
ENSG00000055070	1504	817	3480	4742
ENSG00000175087	3370	4182	4279	4560
ENSG00000157191	1339	851	4619	5510
ENSG00000284699	886	886	886	886
ENSG00000230035	430	430	430	430
ENSG00000235185	207	207	207	207
ENSG00000225643	483	483	483	483
ENSG00000284666	609	609	609	609
ENSG00000228943	235	235	235	235
ENSG00000234397	492	492	492	492
ENSG00000284309	941	941	941	941
ENSG00000162511	1363	960	2177	3228
ENSG00000158014	2353	3097	3249	3483
ENSG00000204138	2327	1853	6048	7317
ENSG00000233419	402	402	402	402
ENSG00000235263	708	708	708	708
ENSG00000228176	498	498	498	498
ENSG00000231251	93	93	93	93
ENSG00000142675	1232	754	2673	3960
ENSG00000197245	2799	2799	2799	2799
ENSG00000261025	2443	2443	2443	2443
ENSG00000116237	2240	1919	4795	4910
ENSG00000130772	902	862	1829	2017
ENSG00000215899	1342	1342	1342	1342
ENSG00000271398	425	425	425	425
ENSG00000225011	349	349	349	349
ENSG00000235069	235	235	235	235
ENSG00000284676	1953	1953	1953	1953
ENSG00000237058	373	373	373	373
ENSG00000233399	1519	1519	1519	1519
ENSG00000090020	2054	1535	4737	6195
ENSG00000157978	1536	913	4670	5371
ENSG00000226944	378	378	378	378
ENSG00000270282	369	369	369	369
ENSG00000130770	874	569	1855	2225
ENSG00000229044	439	439	439	439
ENSG00000162512	3145	2917	6392	7065
ENSG00000158006	1240	748	3487	3795
ENSG00000214812	557	557	557	557
ENSG00000126698	985	753	1763	2892
ENSG00000229447	437	437	437	437
ENSG00000229607	444	444	444	444
ENSG00000130766	3462	3462	3462	3462
ENSG00000168528	1953	2067	2807	3452
ENSG00000196581	4927	2383	12102	12528
ENSG00000169403	3241	3993	4191	4208
ENSG00000084628	1030	569	2922	3320
ENSG00000060688	1012	743	1928	3887
ENSG00000171612	3865	3865	3865	3865
ENSG00000270927	493	493	493	493
ENSG00000188910	1994	1994	2192	2362
ENSG00000230523	2148	2148	2148	2148
ENSG00000116138	2903	2602	6299	8563
ENSG00000158161	3168	2132	5999	6424
ENSG00000142684	668	668	698	732
ENSG00000234619	658	658	658	658
ENSG00000121769	737	659	1097	1398
ENSG00000142627	1513	835	3946	4141
ENSG00000284668	852	758	1258	1835
ENSG00000233234	607	607	607	607
ENSG00000142632	1366	803	3322	3788
ENSG00000234593	1174	1227	1404	2858
ENSG00000158292	4198	4198	4198	4198
ENSG00000270605	1945	1945	1945	1945
ENSG00000189337	3418	3643	6874	13860
ENSG00000232912	669	516	1052	1178
ENSG00000235084	447	447	447	447
ENSG00000235143	1747	1747	1747	1747
ENSG00000225478	223	223	223	223
ENSG00000225077	1493	1302	2040	2358
ENSG00000028137	2059	2070	3687	3778
ENSG00000238249	743	743	743	743
ENSG00000204464	348	348	441	559
ENSG00000233372	551	551	551	551
ENSG00000283259	1565	1565	1565	1565
ENSG00000284543	1425	554	5019	9848
ENSG00000130939	2356	1050	6184	9237
ENSG00000175147	4038	3023	7100	11973
ENSG00000127472	1202	1028	1918	3342
ENSG00000060656	2479	1590	5573	6682
ENSG00000163867	2289	1473	6241	9568
ENSG00000232768	163	163	163	163
ENSG00000230214	523	523	523	523
ENSG00000189280	1355	1355	1355	1355
ENSG00000134698	2697	522	7272	7423
ENSG00000134690	2337	2337	2371	2406
ENSG00000272420	568	568	568	568
ENSG00000132881	955	955	1574	1574
ENSG00000273274	12831	12831	12831	12831
ENSG00000116251	1080	786	2279	4665
ENSG00000272510	346	346	346	346
ENSG00000158286	1377	612	3981	6595
ENSG00000236648	819	821	1025	1328
ENSG00000232273	532	532	532	532
ENSG00000009709	3391	2260	6213	6473
ENSG00000287396	663	663	663	663
ENSG00000223589	340	340	340	340
ENSG00000158008	1546	780	4020	4542
ENSG00000130940	2272	695	7934	11336
ENSG00000116771	3095	3095	3095	3095
ENSG00000237301	2845	2845	2845	2845
ENSG00000162585	1669	1413	4478	10916
ENSG00000163879	1776	1670	3539	4456
ENSG00000227527	661	661	661	661
ENSG00000116954	1621	1618	2681	5116
ENSG00000228589	681	681	681	681
ENSG00000163873	3388	1756	9491	10497
ENSG00000117215	2253	2253	2651	2681
ENSG00000196449	1848	1848	1848	1848
ENSG00000230163	720	720	720	720
ENSG00000227538	1133	1133	1133	1133
ENSG00000232208	352	352	352	352
ENSG00000236500	225	225	225	225
ENSG00000044012	604	604	604	604
ENSG00000179051	2284	2030	4040	4079
ENSG00000215895	1960	1960	1960	1960
ENSG00000231868	351	351	351	351
ENSG00000284650	1039	1039	1039	1039
ENSG00000237329	507	507	507	507
ENSG00000236948	605	605	847	1095
ENSG00000126067	3256	4217	4426	4528
ENSG00000274944	1674	1495	3231	3251
ENSG00000132906	1545	1111	4463	5269
ENSG00000197312	2659	1063	10667	12178
ENSG00000284748	1326	1326	1326	1326
ENSG00000272078	7923	7923	7923	7923
ENSG00000173660	614	621	687	1341
ENSG00000224592	583	583	593	684
ENSG00000233728	700	700	700	700
ENSG00000230451	145	145	145	145
ENSG00000231606	976	976	1239	1549
ENSG00000215900	252	252	252	252
ENSG00000284632	614	514	890	1240
ENSG00000241014	1406	1406	1887	1887
ENSG00000054118	3026	3582	4405	4720
ENSG00000254553	3447	3447	3447	3447
ENSG00000284653	2013	2013	2013	2013
ENSG00000237749	253	253	253	253
ENSG00000276747	2396	2396	2396	2396
ENSG00000284705	2694	2694	2694	2694
ENSG00000228776	454	454	454	454
ENSG00000159339	893	513	2267	2971
ENSG00000223814	407	407	407	407
ENSG00000197982	1253	1281	2229	2231
ENSG00000261781	2471	2471	2471	2471
ENSG00000183317	1920	2000	5477	8152
ENSG00000183386	1140	1091	1656	2004
ENSG00000284743	674	674	674	674
ENSG00000158315	1569	1883	2129	2826
ENSG00000204084	2460	3230	4694	8930
ENSG00000186973	475	488	536	843
ENSG00000271806	4196	4196	4196	4196
ENSG00000146463	2565	566	7366	7905
ENSG00000279214	950	950	950	950
ENSG00000183520	1310	1322	2023	3381
ENSG00000271741	3099	3099	3099	3099
ENSG00000214141	1892	1892	1892	1892
ENSG00000142686	1232	578	2628	3049
ENSG00000224751	1312	1312	1312	1312
ENSG00000279096	2654	2654	2669	2669
ENSG00000117148	1755	1755	1841	1844
ENSG00000230585	811	811	811	811
ENSG00000117000	6232	6232	6232	6232
ENSG00000284989	4037	4037	4037	4037
ENSG00000231630	429	429	429	429
ENSG00000092853	3756	3993	8512	9591
ENSG00000255811	560	560	560	560
ENSG00000134697	967	630	2409	5747
ENSG00000187513	1340	1340	1621	1716
ENSG00000238145	1192	1192	1192	1192
ENSG00000225142	436	436	436	436
ENSG00000230138	830	830	850	933
ENSG00000223390	762	762	762	762
ENSG00000285823	932	932	1108	1431
ENSG00000284720	1521	1521	1521	1521
ENSG00000225028	1807	1807	1807	1807
ENSG00000225671	595	595	595	595
ENSG00000116151	1697	1645	4764	11337
ENSG00000226147	1301	1301	1301	1301
ENSG00000182873	937	937	1253	1734
ENSG00000006555	1842	2149	3401	6111
ENSG00000236111	681	681	681	681
ENSG00000066056	1195	638	3893	6705
ENSG00000214114	1110	784	2532	2773
ENSG00000173436	1133	655	3723	5480
ENSG00000116544	2660	3587	3921	4042
ENSG00000231900	1309	1309	1309	1309
ENSG00000236723	679	679	835	1227
ENSG00000232467	601	601	601	601
ENSG00000117016	4333	4333	7259	7259
ENSG00000121310	1181	785	5817	11572
ENSG00000169213	12780	12780	12780	12780
ENSG00000163866	2271	1768	5694	10337
ENSG00000225779	370	370	370	370
ENSG00000284601	1240	1153	1595	1733
ENSG00000237130	370	370	370	370
ENSG00000143001	1256	1256	1256	1256
ENSG00000229716	369	369	369	369
ENSG00000226133	681	743	789	1477
ENSG00000227416	429	429	429	429
ENSG00000232335	539	539	539	539
ENSG00000260971	978	1022	1860	7878
ENSG00000259832	196	196	196	196
ENSG00000284696	706	626	1706	3511
ENSG00000238242	921	921	1160	1259
ENSG00000285839	1986	1986	1986	1986
ENSG00000237290	1571	1571	2283	2573
ENSG00000232762	752	752	752	752
ENSG00000117419	937	973	1733	2785
ENSG00000162384	1140	1009	1912	4504
ENSG00000162391	1709	1709	1975	2006
ENSG00000174348	1978	1852	3248	4899
ENSG00000154198	1474	1474	1512	1598
ENSG00000117859	1697	863	4520	10273
ENSG00000228121	819	819	819	819
ENSG00000253313	1057	1057	1486	1522
ENSG00000162396	2356	2356	2356	2356
ENSG00000203995	4023	3942	4445	4694
ENSG00000227742	1490	1444	2363	2704
ENSG00000284686	1340	1267	1675	2655
ENSG00000162378	5218	5218	8143	8206
ENSG00000233079	1376	531	3146	3391
ENSG00000259818	3591	3591	3591	3591
ENSG00000229444	469	469	469	469
ENSG00000240563	3831	3831	3831	3831
ENSG00000234318	447	447	447	447
ENSG00000284773	3163	3163	3163	3163
ENSG00000234481	620	620	778	778
ENSG00000117862	867	800	1416	2864
ENSG00000235612	731	731	731	731
ENSG00000228369	391	391	391	391
ENSG00000183431	939	775	2774	3894
ENSG00000227485	359	359	359	359
ENSG00000224609	1173	1010	2841	7581
ENSG00000235545	1228	1228	1228	1228
ENSG00000236646	270	270	270	270
ENSG00000169174	2233	2199	3891	5711
ENSG00000232198	607	607	607	607
ENSG00000238063	1268	1225	1660	3673
ENSG00000227104	430	430	430	430
ENSG00000243725	1725	1998	2356	3488
ENSG00000171872	1927	1927	3160	3160
ENSG00000162407	1450	696	3273	5272
ENSG00000285079	2316	2316	2316	2316
ENSG00000169218	2498	2397	2879	3058
ENSG00000163877	2198	1846	4554	5718
ENSG00000228929	455	455	455	455
ENSG00000224570	1797	1797	1797	1797
ENSG00000224980	433	433	433	433
ENSG00000278967	1819	1819	1819	1819
ENSG00000157184	2600	2671	4539	10089
ENSG00000272491	1674	1674	1674	1674
ENSG00000198815	3655	5106	5352	6896
ENSG00000134744	2154	1010	5858	16199
ENSG00000233910	721	721	721	721
ENSG00000287703	1426	1426	1426	1426
ENSG00000283039	3159	3159	3159	3159
ENSG00000229032	342	342	342	342
ENSG00000229294	512	512	512	512
ENSG00000232993	467	467	467	467
ENSG00000234088	405	405	405	405
ENSG00000236973	1000	1000	1000	1000
ENSG00000227947	1461	1461	1461	1461
ENSG00000277397	718	718	718	718
ENSG00000271200	427	427	427	427
ENSG00000235446	613	613	792	1017
ENSG00000261196	121	121	121	121
ENSG00000162385	647	675	738	1363
ENSG00000231413	292	292	292	292
ENSG00000234264	1247	1247	1247	1247
ENSG00000242391	380	380	380	380
ENSG00000223883	1314	997	3539	6152
ENSG00000284808	2442	2442	2442	2442
ENSG00000242267	687	697	817	2010
ENSG00000237227	307	307	307	307
ENSG00000275350	585	585	585	585
ENSG00000116652	3555	3555	3555	3555
ENSG00000123080	1991	2076	2904	3018
ENSG00000285778	1833	1672	2291	3776
ENSG00000077549	2775	2063	6180	19094
ENSG00000233407	250	250	250	250
ENSG00000225675	567	567	567	567
ENSG00000237622	337	337	337	337
ENSG00000162598	1540	1307	3012	4422
ENSG00000280317	301	301	301	301
ENSG00000162415	3129	3129	5868	6095
ENSG00000162600	856	744	2105	3718
ENSG00000116704	6193	6193	6193	6193
ENSG00000227644	280	280	280	280
ENSG00000157193	2832	2800	10750	19668
ENSG00000116205	3670	2538	10429	12168
ENSG00000198841	1708	1708	1708	1708
ENSG00000116212	1196	1044	1764	2164
ENSG00000234204	458	458	458	458
ENSG00000233099	377	377	377	377
ENSG00000233994	608	608	608	608
ENSG00000237180	267	267	267	267
ENSG00000213561	766	766	766	766
ENSG00000233973	784	510	3871	5534
ENSG00000237552	448	448	448	448
ENSG00000132854	3176	2563	5499	6814
ENSG00000227556	107	107	107	107
ENSG00000162616	1142	821	2903	3702
ENSG00000162607	2126	2200	3602	3869
ENSG00000233602	619	619	619	619
ENSG00000233271	428	428	428	428
ENSG00000285954	886	886	886	886
ENSG00000233333	757	757	757	757
ENSG00000154027	1101	563	3929	6948
ENSG00000234108	331	331	331	331
ENSG00000232676	1124	1124	1124	1124
ENSG00000225167	295	295	295	295
ENSG00000132122	1648	897	5003	5938
ENSG00000213579	457	457	457	457
ENSG00000137960	2045	2045	3778	3904
ENSG00000237852	423	423	423	423
ENSG00000116745	2605	2605	2605	2605
ENSG00000132855	1350	751	2926	3371
ENSG00000285407	1215	1299	1805	2810
ENSG00000272855	463	463	463	463
ENSG00000270549	238	238	238	238
ENSG00000237163	303	303	303	303
ENSG00000229636	1491	1491	1491	1491
ENSG00000116675	2667	1121	5962	6958
ENSG00000162433	3217	1189	6998	7578
ENSG00000213625	1821	520	4625	5237
ENSG00000227207	358	358	358	358
ENSG00000227016	1382	1382	1382	1382
ENSG00000233664	321	321	321	321
ENSG00000158966	4711	5410	5933	7022
ENSG00000213703	546	546	546	546
ENSG00000203965	1404	861	3795	5704
ENSG00000223479	438	438	557	819
ENSG00000233674	271	271	271	271
ENSG00000153898	1674	1719	3044	3442
ENSG00000117069	1899	787	5547	6059
ENSG00000125703	1513	665	2944	3116
ENSG00000285041	2636	2636	2636	2636
ENSG00000285808	1065	1065	1065	1065
ENSG00000229440	217	217	217	217
ENSG00000234144	226	226	226	226
ENSG00000213540	493	493	493	493
ENSG00000277670	263	263	263	263
ENSG00000227466	456	456	456	456
ENSG00000154007	1080	1080	1080	1080
ENSG00000230498	2086	2086	2086	2086
ENSG00000285782	761	761	761	761
ENSG00000162618	1652	791	3672	5798
ENSG00000224493	670	670	670	670
ENSG00000131233	2091	2091	2281	2439
ENSG00000272371	456	456	456	456
ENSG00000287647	2059	2059	2059	2059
ENSG00000229225	157	157	157	157
ENSG00000230863	1009	806	1480	2159
ENSG00000213560	556	556	556	556
ENSG00000287224	1416	1416	1416	1416
ENSG00000225598	580	580	580	580
ENSG00000286455	1126	1126	1126	1126
ENSG00000225087	697	612	1122	2896
ENSG00000224986	1044	1044	1044	1044
ENSG00000280378	1755	1755	1755	1755
ENSG00000188786	4175	4175	7937	7989
ENSG00000230053	368	368	368	368
ENSG00000137941	3944	2289	8452	10547
ENSG00000273338	209	209	209	209
ENSG00000223720	651	651	651	651
ENSG00000224326	349	349	349	349
ENSG00000286548	3326	3794	4186	6245
ENSG00000066135	1460	852	4486	5184
ENSG00000230027	751	751	1104	1312
ENSG00000233061	2921	2921	2921	2921
ENSG00000272094	879	879	879	879
ENSG00000228853	534	534	534	534
ENSG00000215874	633	633	633	633
ENSG00000232453	1240	1265	1383	2068
ENSG00000260386	1520	1244	2270	3555
ENSG00000284895	81	81	81	81
ENSG00000117174	6141	6141	6203	6203
ENSG00000237413	1581	1581	1993	2481
ENSG00000184313	3112	3413	4542	9088
ENSG00000284645	3304	3304	3304	3304
ENSG00000225605	816	840	1068	2097
ENSG00000225446	1111	1111	1547	1842
ENSG00000288543	497	497	497	497
ENSG00000122420	4017	4393	5429	5764
ENSG00000284240	1899	1152	3864	4926
ENSG00000236290	703	703	703	703
ENSG00000143013	1942	1106	4993	5421
ENSG00000226084	555	555	555	555
ENSG00000134748	2406	1059	5233	5617
ENSG00000142892	2503	1926	4601	5514
ENSG00000219102	1063	1063	1063	1063
ENSG00000184005	2771	861	6836	7212
ENSG00000230953	175	175	175	175
ENSG00000287743	1672	1672	1672	1672
ENSG00000229332	562	562	562	562
ENSG00000227937	382	382	382	382
ENSG00000229752	739	739	739	739
ENSG00000237505	1942	1594	3542	16635
ENSG00000285462	1507	1507	1507	1507
ENSG00000233216	322	322	322	322
ENSG00000197273	597	597	597	597
ENSG00000226804	1160	1160	1160	1160
ENSG00000285325	1172	1172	1172	1172
ENSG00000230728	623	623	623	623
ENSG00000162402	2012	600	10800	12023
ENSG00000232846	879	879	879	879
ENSG00000219201	921	921	921	921
ENSG00000230787	1111	1111	1111	1111
ENSG00000116641	2276	765	8283	24890
ENSG00000235927	2292	2292	2292	2292
ENSG00000223920	715	715	715	715
ENSG00000237453	343	343	343	343
ENSG00000172260	3907	726	12613	13208
ENSG00000285473	716	716	716	716
ENSG00000237959	322	322	322	322
ENSG00000231364	1207	1189	1373	1841
ENSG00000234578	470	470	470	470
ENSG00000117480	1043	907	2042	2724
ENSG00000137944	1659	1841	1937	2196
ENSG00000229505	736	736	736	736
ENSG00000228187	571	571	571	571
ENSG00000285201	441	441	441	441
ENSG00000182183	1224	1196	1992	2684
ENSG00000236407	619	619	619	619
ENSG00000271949	654	654	654	654
ENSG00000227062	418	418	418	418
ENSG00000067334	1951	811	5896	7518
ENSG00000235011	355	355	355	355
ENSG00000235673	691	691	691	691
ENSG00000226938	383	383	383	383
ENSG00000213559	922	922	922	922
ENSG00000287587	1188	1188	1188	1188
ENSG00000142949	3187	2744	7720	10712
ENSG00000116133	2621	2801	5311	6214
ENSG00000232882	621	621	621	621
ENSG00000171502	3279	2376	6834	9568
ENSG00000162399	9761	9761	9761	9761
ENSG00000116157	1051	1051	1229	1692
ENSG00000143036	1709	1994	2381	2869
ENSG00000232672	1000	1000	1000	1000
ENSG00000230817	986	947	1712	2155
ENSG00000235613	1693	1693	1693	1693
ENSG00000065243	2163	1632	6070	6897
ENSG00000226759	776	740	1262	4340
ENSG00000226960	589	589	589	589
ENSG00000234080	877	877	877	877
ENSG00000237899	471	471	471	471
ENSG00000225492	1487	1487	1740	2352
ENSG00000223905	664	664	664	664
ENSG00000227290	920	920	920	920
ENSG00000229486	1401	1401	1401	1401
ENSG00000282898	559	559	559	559
ENSG00000285409	597	597	597	597
ENSG00000231090	1320	1320	2002	2568
ENSG00000117528	2407	3174	4367	7655
ENSG00000271723	5170	5514	6090	7090
ENSG00000172339	3326	446	9375	9641
ENSG00000036549	2025	686	6412	9008
ENSG00000287724	831	831	831	831
ENSG00000058799	1210	1009	1821	2036
ENSG00000225191	1240	1240	1240	1240
ENSG00000287870	1211	1211	1211	1211
ENSG00000235563	1871	1871	1871	1871
ENSG00000232048	859	859	859	859
ENSG00000232857	835	835	835	835
ENSG00000273637	2171	2171	2171	2171
ENSG00000203985	1867	2220	2376	2376
ENSG00000228838	675	675	675	675
ENSG00000283761	3098	2815	5352	5765
ENSG00000189433	1444	1444	1444	1444
ENSG00000230759	418	418	418	418
ENSG00000231866	175	175	175	175
ENSG00000179178	1098	1182	1850	2138
ENSG00000142700	2960	2960	3080	3168
ENSG00000285525	1414	1414	1414	1414
ENSG00000236098	592	592	592	592
ENSG00000233514	360	360	360	360
ENSG00000127124	6271	2369	12617	14625
ENSG00000266993	754	747	1290	1819
ENSG00000223675	2171	2171	2171	2171
ENSG00000162604	1014	832	3218	5516
ENSG00000229316	653	653	653	653
ENSG00000116171	1706	1133	5204	8253
ENSG00000287406	968	968	968	968
ENSG00000225767	503	503	503	503
ENSG00000234099	1058	1058	1058	1058
ENSG00000137936	1738	1607	3229	6919
ENSG00000235308	475	475	475	475
ENSG00000232752	643	643	643	643
ENSG00000235829	326	326	326	326
ENSG00000143032	2044	2044	2044	2044
ENSG00000226745	685	685	685	685
ENSG00000178028	1172	874	4552	5599
ENSG00000280040	672	672	672	672
ENSG00000168710	2143	1649	4313	5035
ENSG00000117519	1215	792	1991	2783
ENSG00000270507	150	150	150	150
ENSG00000238037	274	274	274	274
ENSG00000215869	1125	1066	2275	3146
ENSG00000134215	1654	1293	5025	7306
ENSG00000227935	708	708	708	708
ENSG00000229887	1282	1282	1447	1447
ENSG00000228502	1389	1389	1389	1389
ENSG00000236268	2270	1543	4519	4746
ENSG00000271277	379	379	379	379
ENSG00000236888	360	360	360	360
ENSG00000279778	3087	3087	3087	3087
ENSG00000232015	251	251	251	251
ENSG00000230955	481	481	481	481
ENSG00000230828	346	346	346	346
ENSG00000188641	1717	1036	4423	7131
ENSG00000152078	2188	800	6805	7385
ENSG00000237279	395	395	395	395
ENSG00000233359	896	896	1136	1734
ENSG00000237954	824	824	845	879
ENSG00000185668	2965	2965	2965	2965
ENSG00000171492	1567	905	3950	4852
ENSG00000233129	766	766	766	766
ENSG00000170989	2250	2607	2778	5223
ENSG00000258634	4216	4216	4216	4216
ENSG00000233557	469	469	469	469
ENSG00000237897	593	593	593	593
ENSG00000116299	2182	1115	6880	9194
ENSG00000137962	4944	3439	8952	18370
ENSG00000227832	1098	1098	1098	1098
ENSG00000286692	486	486	486	486
ENSG00000260464	1766	1766	1766	1766
ENSG00000237435	832	830	1220	2804
ENSG00000231996	152	152	152	152
ENSG00000273204	429	429	429	429
ENSG00000079739	1791	2341	2657	4077
ENSG00000117154	1316	1407	1892	3033
ENSG00000162377	2448	2448	3988	4148
ENSG00000224613	2109	2029	2647	2774
ENSG00000215871	814	814	814	814
ENSG00000287372	1866	2123	2674	4336
ENSG00000232542	401	401	401	401
ENSG00000231095	994	994	994	994
ENSG00000116774	1640	1934	2063	2821
ENSG00000287756	1453	1453	1453	1453
ENSG00000269113	4071	4071	7524	7524
ENSG00000284652	1765	1765	1765	1765
ENSG00000023909	2274	1816	4883	5426
ENSG00000069702	2830	2908	6455	8577
ENSG00000232185	832	832	832	832
ENSG00000230489	619	619	619	619
ENSG00000228399	343	343	343	343
ENSG00000236776	460	460	460	460
ENSG00000285928	1795	1795	1795	1795
ENSG00000224685	321	321	321	321
ENSG00000287076	2501	2571	2626	2626
ENSG00000237480	1211	1138	2281	8919
ENSG00000271252	287	287	287	287
ENSG00000230427	1096	1096	1096	1096
ENSG00000235794	331	331	331	331
ENSG00000286758	599	599	599	599
ENSG00000237337	858	858	858	858
ENSG00000233983	399	399	399	399
ENSG00000198198	3634	2204	14136	26354
ENSG00000225183	238	238	238	238
ENSG00000230402	497	497	497	497
ENSG00000116793	2096	1905	4314	7170
ENSG00000134201	1677	776	4370	6067
ENSG00000238122	2481	2481	2481	2481
ENSG00000260879	1566	1566	1566	1566
ENSG00000213366	1213	982	4321	9116
ENSG00000230864	931	931	931	931
ENSG00000283354	285	285	285	285
ENSG00000232918	488	488	488	488
ENSG00000236360	502	502	502	502
ENSG00000183298	880	880	880	880
ENSG00000234332	674	674	674	674
ENSG00000117525	1460	1536	2298	2886
ENSG00000225079	520	520	520	520
ENSG00000226483	670	670	670	670
ENSG00000224238	2060	2060	2060	2060
ENSG00000229537	592	490	1005	2067
ENSG00000162699	943	943	943	943
ENSG00000162692	2953	2898	3865	6049
ENSG00000203914	1567	1567	1567	1567
ENSG00000270457	338	338	338	338
ENSG00000203858	1118	1118	1118	1118
ENSG00000231987	1994	1994	1994	1994
ENSG00000228057	1258	1258	1258	1258
ENSG00000261593	190	190	190	190
ENSG00000224445	637	611	859	1045
ENSG00000229842	667	667	667	667
ENSG00000270631	558	558	558	558
ENSG00000229201	231	231	231	231
ENSG00000181656	3492	3492	3492	3492
ENSG00000122481	925	1068	1294	1927
ENSG00000198162	2509	724	8576	9667
ENSG00000238198	2467	2467	2467	2467
ENSG00000171517	2577	3345	3515	3536
ENSG00000228852	370	363	526	1418
ENSG00000203864	386	386	386	386
ENSG00000233482	352	352	352	352
ENSG00000230250	638	627	702	707
ENSG00000232878	514	533	724	1479
ENSG00000143079	2245	1236	5864	7371
ENSG00000232450	748	748	748	748
ENSG00000223575	957	957	957	957
ENSG00000230768	775	682	1888	3120
ENSG00000235202	582	568	754	858
ENSG00000272715	383	383	383	383
ENSG00000235038	620	620	620	620
ENSG00000143093	1975	810	4870	7344
ENSG00000226415	750	750	750	750
ENSG00000085491	3372	3404	4249	6726
ENSG00000173947	1873	1519	3774	3949
ENSG00000241361	1394	1394	1569	1882
ENSG00000230434	926	1024	1153	1183
ENSG00000230718	358	358	358	358
ENSG00000134198	1286	732	3216	3413
ENSG00000235595	993	993	993	993
ENSG00000226053	2229	2229	2229	2229
ENSG00000226128	433	433	433	433
ENSG00000198799	4187	3366	11566	12467
ENSG00000279513	1492	1492	1492	1492
ENSG00000117620	2839	2180	14321	18235
ENSG00000280186	2331	2331	2331	2331
