"","ENSEMBL","Length","SYMBOL","ENTREZID"
"60","ENSG00000004799",4544,"PDK4","5166"
"61","ENSG00000004809",3907,"SLC22A16","85413"
"62","ENSG00000004838",2889,"ZMYND10","51364"
"63","ENSG00000004846",8796,"ABCB5","340273"
"64","ENSG00000004848",3114,"ARX","170302"
"65","ENSG00000004864",3710,"SLC25A13","10165"
"66","ENSG00000004866",6526,"ST7","7982"
"67","ENSG00000004866",6526,"ST7-OT3","93655"
"68","ENSG00000004897",6824,"CDC27","996"
"69","ENSG00000004939",5125,"SLC4A1","6521"
"70","ENSG00000004948",4222,"CALCR","799"
"71","ENSG00000004961",2343,"HCCS","3052"
"72","ENSG00000004975",5321,"DVL2","1856"
"73","ENSG00000005001",2384,"PRSS22","64063"
"74","ENSG00000005007",8573,"UPF1","5976"
"75","ENSG00000005020",5361,"SKAP2","8935"
"76","ENSG00000005022",1555,"SLC25A5","292"
"77","ENSG00000005059",3555,"MCUB","55013"
"78","ENSG00000005073",2669,"HOXA11","3207"
"79","ENSG00000005075",937,"POLR2J","5439"
"80","ENSG00000005100",5789,"DHX33","56919"
"81","ENSG00000005102",2674,"MEOX1","4222"
"82","ENSG00000005108",10915,"THSD7A","221981"
"83","ENSG00000005156",12901,"LIG3","3980"
"84","ENSG00000005175",5350,"RPAP3","79657"
"85","ENSG00000005187",7510,"ACSM3","6296"
"86","ENSG00000005189",4111,"REXO5","81691"
"87","ENSG00000005194",3383,"CIAPIN1","57019"
"88","ENSG00000005206",7419,"SPPL2B","56928"
"89","ENSG00000005238",6375,"FAM214B","80256"
"90","ENSG00000005243",1866,"COPZ2","51226"
"91","ENSG00000005249",4262,"PRKAR2B","5577"
"92","ENSG00000005302",9780,"MSL3","10943"
"93","ENSG00000005339",15479,"CREBBP","1387"
"94","ENSG00000005379",11389,"TSPOAP1","9256"
"95","ENSG00000005381",4427,"MPO","4353"
"96","ENSG00000005421",2657,"PON1","5444"
"97","ENSG00000005436",5462,"GCFC2","6936"
"98","ENSG00000005448",2852,"WDR54","84058"
"99","ENSG00000005469",4995,"CROT","54677"
"100","ENSG00000005471",7728,"ABCB4","5244"
"101","ENSG00000005483",13704,"KMT2E","55904"
"102","ENSG00000005486",2390,"RHBDD2","57414"
"103","ENSG00000005513",4470,"SOX8","30812"
"104","ENSG00000005700",8719,"IBTK","25998"
"105","ENSG00000005801",11711,"ZNF195","7748"
"106","ENSG00000005810",34127,"MYCBP2","23077"
"107","ENSG00000005812",7076,"FBXL3","26224"
"108","ENSG00000005844",9864,"ITGAL","3683"
"109","ENSG00000005882",5471,"PDK2","5164"
"110","ENSG00000005884",9802,"ITGA3","3675"
"111","ENSG00000005889",9037,"ZFX","7543"
"112","ENSG00000005893",9404,"LAMP2","3920"
"113","ENSG00000005961",5695,"ITGA2B","3674"
"114","ENSG00000005981",4606,"ASB4","51666"
"115","ENSG00000006007",4390,"GDE1","51573"
"116","ENSG00000006015",3371,"REX1BD","55049"
"117","ENSG00000006016",2967,"CRLF1","9244"
"118","ENSG00000006025",6572,"OSBPL7","114881"
"119","ENSG00000006042",5187,"TMEM98","26022"
"120","ENSG00000006047",4631,"YBX2","51087"
"121","ENSG00000006059",1303,"KRT33A","3883"
"122","ENSG00000006062",5668,"MAP3K14","9020"
"123","ENSG00000006071",27254,"ABCC8","6833"
"124","ENSG00000006116",1917,"CACNG3","10368"
"125","ENSG00000006118",7274,"TMEM132A","54972"
"126","ENSG00000006125",7591,"AP2B1","163"
"127","ENSG00000006128",1712,"TAC1","6863"
"128","ENSG00000006194",6403,"ZNF263","10127"
"129","ENSG00000006210",5960,"CX3CL1","6376"
"130","ENSG00000006282",5337,"SPATA20","64847"
"131","ENSG00000006283",10062,"CACNA1G","8913"
"132","ENSG00000006327",1801,"TNFRSF12A","51330"
"133","ENSG00000006377",3445,"DLX6","1750"
"134","ENSG00000006432",12386,"MAP3K9","4293"
"135","ENSG00000006451",3579,"RALA","5898"
"136","ENSG00000006453",4821,"BAIAP2L1","55971"
"137","ENSG00000006459",9378,"KDM7A","80853"
"138","ENSG00000006468",9615,"ETV1","2115"
"139","ENSG00000006530",10697,"AGK","55750"
"140","ENSG00000006534",6622,"ALDH3B1","221"
"141","ENSG00000006555",6111,"TTC22","55001"
"142","ENSG00000006576",8665,"PHTF2","57157"
"143","ENSG00000006606",703,"CCL26","10344"
"144","ENSG00000006607",14371,"FARP2","9855"
"145","ENSG00000006611",4904,"USH1C","10083"
"146","ENSG00000006625",1594,"GGCT","79017"
"147","ENSG00000006634",4595,"DBF4","10926"
"148","ENSG00000006638",2827,"TBXA2R","6915"
"149","ENSG00000006652",7902,"IFRD1","3475"
"150","ENSG00000006659",904,"LGALS14","56891"
"151","ENSG00000006695",6756,"COX10","1352"
"152","ENSG00000006704",6499,"GTF2IRD1","9569"
"153","ENSG00000006712",2850,"PAF1","54623"
"154","ENSG00000006715",7752,"VPS41","27072"
"155","ENSG00000006740",9322,"ARHGAP44","9912"
"156","ENSG00000006744",7002,"ELAC2","60528"
"157","ENSG00000006747",11626,"SCIN","85477"
"158","ENSG00000006756",7026,"ARSD","414"
"159","ENSG00000006757",3411,"PNPLA4","8228"
"160","ENSG00000006788",6120,"MYH13","8735"
"161","ENSG00000006831",5831,"ADIPOR2","79602"
"162","ENSG00000006837",3149,"CDKL3","51265"
"163","ENSG00000007001",2957,"UPP2","151531"
"164","ENSG00000007038",1967,"PRSS21","10942"
"165","ENSG00000007047",6656,"MARK4","57787"
"166","ENSG00000007062",7457,"PROM1","8842"
"167","ENSG00000007080",1661,"CCDC124","115098"
"168","ENSG00000007129",1977,"CEACAM21","90273"
"169","ENSG00000007168",13771,"PAFAH1B1","5048"
"170","ENSG00000007171",6129,"NOS2","4843"
"171","ENSG00000007174",16941,"DNAH9","1770"
"172","ENSG00000007202",9232,"KIAA0100","9703"
"173","ENSG00000007216",3226,"SLC13A2","9058"
"174","ENSG00000007237",10158,"GAS7","8522"
"175","ENSG00000007255",933,"TRAPPC6A","79090"
"176","ENSG00000007264",4138,"MATK","4145"
"177","ENSG00000007306",2653,"CEACAM7","1087"
"178","ENSG00000007312",2125,"CD79B","974"
"179","ENSG00000007314",8243,"SCN4A","6329"
"180","ENSG00000007341",8108,"ST7L","54879"
"181","ENSG00000007350",3526,"TKTL1","8277"
"182","ENSG00000007372",20639,"PAX6","5080"
"183","ENSG00000007376",2769,"RPUSD1","113000"
"184","ENSG00000007384",4914,"RHBDF1","64285"
"185","ENSG00000007392",6176,"LUC7L","55692"
"186","ENSG00000007402",6508,"CACNA2D2","9254"
"187","ENSG00000007516",6109,"BAIAP3","8938"
"188","ENSG00000007520",1210,"TSR3","115939"
"189","ENSG00000007541",7856,"PIGQ","9091"
"190","ENSG00000007545",8596,"CRAMP1","57585"
"191","ENSG00000007866",3049,"TEAD3","7005"
"192","ENSG00000007908",4586,"SELE","6401"
"193","ENSG00000007923",12182,"DNAJC11","55735"
"194","ENSG00000007933",3439,"FMO3","2328"
"195","ENSG00000007944",3072,"MYLIP","29116"
"196","ENSG00000007952",2543,"NOX1","27035"
"197","ENSG00000007968",5462,"E2F2","1870"
"198","ENSG00000008018",2219,"PSMB1","5689"
"199","ENSG00000008056",3733,"SYN1","6853"
"200","ENSG00000008083",6244,"JARID2","3720"
"201","ENSG00000008086",19056,"CDKL5","6792"
"202","ENSG00000008118",3328,"CAMK1G","57172"
"203","ENSG00000008128",5085,"CDK11A","728642"
"204","ENSG00000008130",5570,"NADK","65220"
"205","ENSG00000008196",6155,"TFAP2B","7021"
"206","ENSG00000008197",2203,"TFAP2D","83741"
"207","ENSG00000008226",8338,"DLEC1","9940"
"208","ENSG00000008256",5808,"CYTH3","9265"
"209","ENSG00000008277",13668,"ADAM22","53616"
"210","ENSG00000008282",2783,"SYPL1","6856"
"211","ENSG00000008283",5296,"CYB561","1534"
"212","ENSG00000008294",11951,"SPAG9","9043"
"213","ENSG00000008300",13850,"CELSR3","1951"
"214","ENSG00000008311",10816,"AASS","10157"
"215","ENSG00000008323",4316,"PLEKHG6","55200"
"216","ENSG00000008324",3118,"SS18L2","51188"
"217","ENSG00000008382",2049,"MPND","84954"
"218","ENSG00000008394",7441,"MGST1","4257"
"219","ENSG00000008405",4782,"CRY1","1407"
"220","ENSG00000008438",708,"PGLYRP1","8993"
"221","ENSG00000008441",6486,"NFIX","4784"
"222","ENSG00000008513",8852,"ST3GAL1","6482"
"223","ENSG00000008516",4745,"MMP25","64386"
"224","ENSG00000008517",3209,"IL32","9235"
"225","ENSG00000008710",18534,"PKD1","5310"
"226","ENSG00000008735",5793,"MAPK8IP2","23542"
"227","ENSG00000008838",6962,"MED24","9862"
"228","ENSG00000008853",7408,"RHOBTB2","23221"
"229","ENSG00000008869",8238,"HEATR5B","54497"
"230","ENSG00000008952",7928,"SEC62","7095"
"231","ENSG00000008988",6765,"RPS20","6224"
"232","ENSG00000009307",9830,"CSDE1","7812"
"233","ENSG00000009335",9215,"UBE3C","9690"
"234","ENSG00000009413",12425,"REV3L","5980"
"235","ENSG00000009694",13547,"TENM1","10178"
"236","ENSG00000009709",6473,"PAX7","5081"
"237","ENSG00000009724",5113,"MASP2","10747"
"238","ENSG00000009765",10362,"IYD","389434"
"239","ENSG00000009780",4046,"FAM76A","199870"
"240","ENSG00000009790",7750,"TRAF3IP3","80342"
"241","ENSG00000009830",13203,"POMT2","29954"
"242","ENSG00000009844",7258,"VTA1","51534"
"243","ENSG00000009950",4815,"MLXIPL","51085"
"244","ENSG00000009954",7060,"BAZ1B","9031"
"245","ENSG00000010017",3618,"RANBP9","10048"
"246","ENSG00000010030",2374,"ETV7","51513"
"247","ENSG00000010072",5906,"SPRTN","83932"
"248","ENSG00000010165",3831,"METTL13","51603"
"249","ENSG00000010219",7050,"DYRK4","8798"
"250","ENSG00000010244",15818,"ZNF207","7756"
"251","ENSG00000010256",3204,"UQCRC1","7384"
"252","ENSG00000010270",4324,"STARD3NL","83930"
"253","ENSG00000010278",5829,"CD9","928"
"254","ENSG00000010282",2888,"HHATL","57467"
"255","ENSG00000010292",6470,"NCAPD2","9918"
"256","ENSG00000010295",4945,"IFFO1","25900"
"257","ENSG00000010310",5069,"GIPR","2696"
"258","ENSG00000010318",3364,"PHF7","51533"
"259","ENSG00000010319",5047,"SEMA3G","56920"
"260","ENSG00000010322",9062,"NISCH","11188"
"261","ENSG00000010327",10588,"STAB1","23166"
"262","ENSG00000010361",2953,"FUZ","80199"
"263","ENSG00000010379",4243,"SLC6A13","6540"
"264","ENSG00000010404",9294,"IDS","3423"
"265","ENSG00000010438",1425,"PRSS3","5646"
"266","ENSG00000010539",7498,"ZNF200","7752"
"267","ENSG00000010610",4557,"CD4","920"
"268","ENSG00000010626",3052,"LRRC23","10233"
"269","ENSG00000010671",7817,"BTK","695"
"270","ENSG00000010704",5675,"HFE","3077"
"271","ENSG00000010803",4602,"SCMH1","22955"
"272","ENSG00000010810",7411,"FYN","2534"
"273","ENSG00000010818",10655,"HIVEP2","3097"
"274","ENSG00000010932",3602,"FMO1","2326"
"275","ENSG00000011007",5348,"ELOA","6924"
"276","ENSG00000011009",2021,"LYPLA2","11313"
"277","ENSG00000011021",8173,"CLCN6","1185"
"278","ENSG00000011028",6591,"MRC2","9902"
"279","ENSG00000011052",1241,"NME1-NME2","654364"
"280","ENSG00000011083",4277,"SLC6A7","6534"
"281","ENSG00000011105",6905,"TSPAN9","10867"
"282","ENSG00000011114",11333,"BTBD7","55727"
"283","ENSG00000011132",5596,"APBA3","9546"
"284","ENSG00000011143",11285,"MKS1","54903"
"285","ENSG00000011198",7539,"ABHD5","51099"
"286","ENSG00000011201",7082,"ANOS1","3730"
"287","ENSG00000011243",8576,"AKAP8L","26993"
"288","ENSG00000011258",7184,"MBTD1","54799"
"289","ENSG00000011260",2703,"UTP18","51096"
"290","ENSG00000011275",7576,"RNF216","54476"
"291","ENSG00000011295",6054,"TTC19","54902"
"292","ENSG00000011304",7521,"PTBP1","5725"
"293","ENSG00000011332",4800,"DPF1","8193"
"294","ENSG00000011347",7552,"SYT7","9066"
"295","ENSG00000011376",12407,"LARS2","23395"
"296","ENSG00000011405",9207,"PIK3C2A","5286"
"297","ENSG00000011422",4457,"PLAUR","5329"
"298","ENSG00000011426",5997,"ANLN","54443"
"299","ENSG00000011451",10037,"WIZ","58525"
"300","ENSG00000011454",7656,"RABGAP1","23637"
"301","ENSG00000011465",12941,"DCN","1634"
"302","ENSG00000011478",2825,"QPCTL","54814"
"303","ENSG00000011485",7089,"PPP5C","5536"
"304","ENSG00000011523",8623,"CEP68","23177"
"305","ENSG00000011566",6056,"MAP4K3","8491"
"306","ENSG00000011590",2739,"ZBTB32","27033"
"307","ENSG00000011600",907,"TYROBP","7305"
"308","ENSG00000011638",2558,"LDAF1","57146"
"309","ENSG00000011677",4150,"GABRA3","2556"
"310","ENSG00000012048",14160,"BRCA1","672"
"311","ENSG00000012061",5575,"ERCC1","2067"
"312","ENSG00000012124",6165,"CD22","933"
"313","ENSG00000012171",5768,"SEMA3B","7869"
"314","ENSG00000012174",8945,"MBTPS2","51360"
"315","ENSG00000012211",3656,"PRICKLE3","4007"
"316","ENSG00000012223",3989,"LTF","4057"
"317","ENSG00000012232",16477,"EXTL3","2137"
"318","ENSG00000012504",3628,"NR1H4","9971"
"319","ENSG00000012660",3813,"ELOVL5","60481"
"320","ENSG00000012779",3728,"ALOX5","240"
"321","ENSG00000012817",9463,"KDM5D","8284"
"322","ENSG00000012822",8898,"CALCOCO1","57658"
"323","ENSG00000012963",3509,"UBR7","55148"
"324","ENSG00000012983",7580,"MAP4K5","11183"
"325","ENSG00000013016",4825,"EHD3","30845"
"326","ENSG00000013275",2550,"PSMC4","5704"
"327","ENSG00000013288",8884,"MAN2B2","23324"
"328","ENSG00000013293",10496,"SLC7A14","57709"
"329","ENSG00000013297",4321,"CLDN11","5010"
"330","ENSG00000013306",3526,"SLC25A39","51629"
"331","ENSG00000013364",6141,"MVP","9961"
"332","ENSG00000013374",5338,"NUB1","51667"
"333","ENSG00000013375",22007,"PGM3","5238"
"334","ENSG00000013392",3769,"RWDD2A","112611"
"335","ENSG00000013441",5117,"CLK1","1195"
"336","ENSG00000013503",4768,"POLR3B","55703"
"337","ENSG00000013523",6525,"ANGEL1","23357"
"338","ENSG00000013561",4988,"RNF14","9604"
"339","ENSG00000013563",4132,"DNASE1L1","1774"
"340","ENSG00000013573",8367,"DDX11","1663"
"341","ENSG00000013583",3428,"HEBP1","50865"
"342","ENSG00000013588",7663,"GPRC5A","9052"
"343","ENSG00000013619",6664,"MAMLD1","10046"
"344","ENSG00000013725",5958,"CD6","923"
"345","ENSG00000013810",8825,"TACC3","10460"
"346","ENSG00000014123",4539,"UFL1","23376"
"347","ENSG00000014138",5568,"POLA2","23649"
"348","ENSG00000014164",3721,"ZC3H3","23144"
"349","ENSG00000014216",7506,"CAPN1","823"
"350","ENSG00000014257",4280,"ACP3","55"
"351","ENSG00000014641",4990,"MDH1","4190"
"352","ENSG00000014824",7199,"SLC30A9","10463"
"353","ENSG00000014914",4572,"MTMR11","10903"
"354","ENSG00000014919",5215,"COX15","1355"
"355","ENSG00000015133",12426,"CCDC88C","440193"
"356","ENSG00000015153",10839,"YAF2","10138"
"357","ENSG00000015171",5325,"ZMYND11","10771"
"358","ENSG00000015285",3402,"WAS","7454"
"359","ENSG00000015413",2737,"DPEP1","1800"
"360","ENSG00000015475",4420,"BID","637"
"361","ENSG00000015479",12064,"MATR3","9782"
"362","ENSG00000015520",5267,"NPC1L1","29881"
"363","ENSG00000015532",5472,"XYLT2","64132"
"364","ENSG00000015568",14185,"RGPD5","84220"
"365","ENSG00000015592",3309,"STMN4","81551"
"366","ENSG00000015676",9893,"NUDCD3","23386"
"367","ENSG00000016082",2817,"ISL1","3670"
"368","ENSG00000016391",7787,"CHDH","55349"
"369","ENSG00000016402",4730,"IL20RA","53832"
"370","ENSG00000016490",3310,"CLCA1","1179"
"371","ENSG00000016602",3447,"CLCA4","22802"
"372","ENSG00000016864",3785,"GLT8D1","55830"
"373","ENSG00000017260",8510,"ATP2C1","27032"
"374","ENSG00000017427",8115,"IGF1","3479"
"375","ENSG00000017483",4017,"SLC38A5","92745"
"376","ENSG00000017797",8041,"RALBP1","10928"
"377","ENSG00000018189",9405,"RUFY3","22902"
"378","ENSG00000018236",7492,"CNTN1","1272"
"379","ENSG00000018280",8676,"SLC11A1","6556"
"380","ENSG00000018408",8353,"WWTR1","25937"
"381","ENSG00000018510",15223,"AGPS","8540"
"382","ENSG00000018607",5310,"ZNF285CP","646915"
"383","ENSG00000018610",2581,"STEEP1","63932"
"384","ENSG00000018625",6298,"ATP1A2","477"
"385","ENSG00000018699",3443,"TTC27","55622"
"386","ENSG00000018869",3341,"ZNF582","147948"
"387","ENSG00000019102",1447,"VSIG2","23584"
"388","ENSG00000019144",21691,"PHLDB1","23187"
"389","ENSG00000019169",2051,"MARCO","8685"
"390","ENSG00000019186",3988,"CYP24A1","1591"
"391","ENSG00000019485",13976,"PRDM11","56981"
"392","ENSG00000019505",5445,"SYT13","57586"
"393","ENSG00000019549",3281,"SNAI2","6591"
"394","ENSG00000019582",4526,"CD74","972"
"395","ENSG00000019991",9753,"HGF","3082"
"396","ENSG00000019995",5993,"ZRANB1","54764"
"397","ENSG00000020129",4917,"NCDN","23154"
"398","ENSG00000020181",7084,"ADGRA2","25960"
"399","ENSG00000020219",1674,"CCT8L1P","155100"
"400","ENSG00000020256",6790,"ZFP64","55734"
"401","ENSG00000020426",3877,"MNAT1","4331"
"402","ENSG00000020577",12333,"SAMD4A","23034"
"403","ENSG00000020633",4922,"RUNX3","864"
"404","ENSG00000020922",7674,"MRE11","4361"
"405","ENSG00000021300",4933,"PLEKHB1","58473"
"406","ENSG00000021355",3047,"SERPINB1","1992"
"407","ENSG00000021461",2628,"CYP3A43","64816"
"408","ENSG00000021488",2598,"SLC7A9","11136"
"409","ENSG00000021574",9481,"SPAST","6683"
"410","ENSG00000021645",15534,"NRXN3","9369"
"411","ENSG00000021762",7473,"OSBPL5","114879"
"412","ENSG00000021776",13431,"AQR","9716"
"413","ENSG00000021826",11018,"CPS1","1373"
"414","ENSG00000021852",3931,"C8B","732"
"415","ENSG00000022267",5862,"FHL1","2273"
"416","ENSG00000022277",4063,"RTF2","51507"
"417","ENSG00000022355",8420,"GABRA1","2554"
"418","ENSG00000022556",6313,"NLRP2","55655"
"419","ENSG00000022567",8608,"SLC45A4","57210"
"420","ENSG00000022840",5900,"RNF10","9921"
"421","ENSG00000022976",5595,"ZNF839","55778"
"422","ENSG00000023041",9250,"ZDHHC6","64429"
"423","ENSG00000023171",14932,"GRAMD1B","57476"
"424","ENSG00000023191",7374,"RNH1","6050"
"425","ENSG00000023228",12174,"NDUFS1","4719"
"426","ENSG00000023287",7613,"RB1CC1","9821"
"427","ENSG00000023318",14212,"ERP44","23071"
"428","ENSG00000023330",2536,"ALAS1","211"
"429","ENSG00000023445",7518,"BIRC3","330"
"430","ENSG00000023516",9915,"AKAP11","11215"
"431","ENSG00000023572",6210,"GLRX2","51022"
"432","ENSG00000023608",2593,"SNAPC1","6617"
"433","ENSG00000023697",2813,"DERA","51071"
"434","ENSG00000023734",2215,"STRAP","11171"
"435","ENSG00000023839",7837,"ABCC2","1244"
"436","ENSG00000023892",5066,"DEF6","50619"
"437","ENSG00000023902",6629,"PLEKHO1","51177"
"438","ENSG00000023909",5426,"GCLM","2730"
"439","ENSG00000024048",8874,"UBR2","23304"
"440","ENSG00000024422",3844,"EHD2","30846"
"441","ENSG00000024526",5904,"DEPDC1","55635"
"442","ENSG00000024862",1247,"CCDC28A","25901"
"443","ENSG00000025039",5095,"RRAGD","58528"
"444","ENSG00000025156",2697,"HSF2","3298"
"445","ENSG00000025293",8372,"PHF20","51230"
"446","ENSG00000025423",2272,"HSD17B6","8630"
"447","ENSG00000025434",4534,"NR1H3","10062"
"448","ENSG00000025708",3600,"TYMP","1890"
"449","ENSG00000025770",4459,"NCAPH2","29781"
"450","ENSG00000025772",1973,"TOMM34","10953"
"451","ENSG00000025796",8606,"SEC63","11231"
"452","ENSG00000025800",7457,"KPNA6","23633"
"453","ENSG00000026025",5176,"VIM","7431"
"454","ENSG00000026036",9093,"RTEL1-TNFRSF6B","100533107"
"455","ENSG00000026103",29313,"FAS","355"
"456","ENSG00000026297",19532,"RNASET2","8635"
"457","ENSG00000026508",9992,"CD44","960"
"458","ENSG00000026559",5415,"KCNG1","3755"
"459","ENSG00000026652",14253,"AGPAT4","56895"
"460","ENSG00000026751",4833,"SLAMF7","57823"
"461","ENSG00000026950",5539,"BTN3A1","11119"
"462","ENSG00000027001",3388,"MIPEP","4285"
"463","ENSG00000027075",8947,"PRKCH","5583"
"464","ENSG00000027644",5200,"INSRR","3645"
"465","ENSG00000027697",3549,"IFNGR1","3459"
"466","ENSG00000027847",4878,"B4GALT7","11285"
"467","ENSG00000027869",2498,"SH2D2A","9047"
"468","ENSG00000028116",3531,"VRK2","7444"
"469","ENSG00000028137",3778,"TNFRSF1B","7133"
"470","ENSG00000028203",8766,"VEZT","55591"
"471","ENSG00000028277",9072,"POU2F2","5452"
"472","ENSG00000028310",9549,"BRD9","65980"
"473","ENSG00000028528",9789,"SNX1","6642"
"474","ENSG00000028839",5039,"TBPL1","9519"
"475","ENSG00000029153",7001,"ARNTL2","56938"
"476","ENSG00000029363",9533,"BCLAF1","9774"
"477","ENSG00000029364",7138,"SLC39A9","55334"
"478","ENSG00000029534",10797,"ANK1","286"
"479","ENSG00000029559",1573,"IBSP","3381"
"480","ENSG00000029639",4111,"TFB1M","51106"
"481","ENSG00000029725",7059,"RABEP1","9135"
"482","ENSG00000029993",3914,"HMGB3","3149"
"483","ENSG00000030066",8576,"NUP160","23279"
"484","ENSG00000030110",2212,"BAK1","578"
"485","ENSG00000030304",9176,"MUSK","4593"
"486","ENSG00000030419",12243,"IKZF2","22807"
"487","ENSG00000030582",3524,"GRN","2896"
"488","ENSG00000031003",6808,"FAM13B","51306"
"489","ENSG00000031081",9374,"ARHGAP31","57514"
"490","ENSG00000031691",1741,"CENPQ","55166"
"491","ENSG00000031698",3849,"SARS1","6301"
"492","ENSG00000031823",7445,"RANBP3","8498"
"493","ENSG00000032219",7449,"ARID4A","5926"
"494","ENSG00000032389",5723,"EIPR1","7260"
"495","ENSG00000032444",7161,"PNPLA6","10908"
"496","ENSG00000032742",6049,"IFT88","8100"
"497","ENSG00000033011",10637,"ALG1","56052"
"498","ENSG00000033030",9125,"ZCCHC8","55596"
"499","ENSG00000033050",5158,"ABCF2","10061"
"500","ENSG00000033100",6498,"CHPF2","54480"
"501","ENSG00000033122",30043,"LRRC7","57554"
"502","ENSG00000033170",6976,"FUT8","2530"
"503","ENSG00000033178",11408,"UBA6","55236"
"504","ENSG00000033327",6775,"GAB2","9846"
"505","ENSG00000033627",10926,"ATP6V0A1","535"
"506","ENSG00000033800",10647,"PIAS1","8554"
"507","ENSG00000033867",9616,"SLC4A7","9497"
"508","ENSG00000034053",6869,"APBA2","321"
"509","ENSG00000034152",3775,"MAP2K3","5606"
"510","ENSG00000034239",5822,"CLXN","79645"
"511","ENSG00000034510",461,"TMSB10","9168"
"512","ENSG00000034533",3427,"ASTE1","28990"
"513","ENSG00000034677",5852,"RNF19A","25897"
"514","ENSG00000034693",2830,"PEX3","8504"
"515","ENSG00000034713",3010,"GABARAPL2","11345"
"516","ENSG00000034971",2104,"MYOC","4653"
"517","ENSG00000035115",11132,"SH3YL1","26751"
"518","ENSG00000035141",3086,"FAM136A","84908"
"519","ENSG00000035403",9992,"VCL","7414"
"520","ENSG00000035499",3806,"DEPDC1B","55789"
"521","ENSG00000035664",13661,"DAPK2","23604"
"522","ENSG00000035681",6170,"NSMAF","8439"
"523","ENSG00000035687",3441,"ADSS2","159"
"524","ENSG00000035720",1951,"STAP1","26228"
"525","ENSG00000035862",5633,"TIMP2","7077"
"526","ENSG00000035928",6713,"RFC1","5981"
"527","ENSG00000036054",5176,"TBC1D23","55773"
"528","ENSG00000036257",11505,"CUL3","8452"
"529","ENSG00000036448",7056,"MYOM2","9172"
"530","ENSG00000036473",1683,"OTC","5009"
"531","ENSG00000036530",9358,"CYP46A1","10858"
"532","ENSG00000036549",9008,"ZZZ3","26009"
"533","ENSG00000036565",3910,"SLC18A1","6570"
"534","ENSG00000036672",4523,"USP2","9099"
"535","ENSG00000036828",12020,"CASR","846"
"536","ENSG00000037042",2793,"TUBG2","27175"
"537","ENSG00000037241",1164,"RPL26L1","51121"
"538","ENSG00000037280",8852,"FLT4","2324"
"539","ENSG00000037474",5506,"NSUN2","54888"
"540","ENSG00000037637",9009,"FBXO42","54455"
